# LanguageTag	#Level	#Puzzle	#Text	#foldername	#Background	#Pieces	#mask	#sound
#Piece	#filename prefix	#posX	#posY	#depth	#shadow			
ms-MY	1	1	Ayam	level_pre/level1/puzzle1_ayam/	ap2_puzzle1_background.jpg	1	x	ayam.m4a
1	ap2_puzzle1_ayam_puzzle	825	95	x	x			
ms-MY	1	2	Ikan	level_pre/level1/puzzle2_ikan/	ap2_puzzle2_background.jpg	1	x	ikan.m4a
1	ap2_puzzle2_ikan_puzzle	340	250	x	x
ms-MY	2	1	Burung	level_pre/level1/puzzle1_bird/	ap2_puzzle1_background.jpg	1	x	burung.m4a
1	ap2_puzzle1_bird_puzzle	825	95	x	x			
ms-MY	2	2	Penyu	level_pre/level1/puzzle3_turtle/	ap2_puzzle3_background.jpg	1	x	penyu.m4a
1	ap2_puzzle3_turtle_puzzle	548	156	x	x			
ms-MY	3	1	Kumbang	level_pre/level1/puzzle3_kumbang/	ap2_puzzle3_background.jpg	1	x	kumbang.m4a
1	ap2_puzzle3_kumbang_puzzle	548	156	x	x			
ms-MY	3	2	Tupai	level_pre/level1/puzzle4_tupai/	ap2_puzzle4_background.jpg	1	x	tupai.m4a
1	ap2_puzzle4_tupai_puzzle	428	56	x	x			
ms-MY	4	1	Kuda	level_pre/level1/puzzle4_kuda/	ap2_puzzle4_background.jpg	1	x	kuda.m4a
1	ap2_puzzle4_kuda_puzzle	428	56	x	x			
ms-MY	4	2	Kurita	level_pre/level1/puzzle3_kurita/	ap2_puzzle3_background.jpg	1	x	kurita.m4a
1	ap2_puzzle3_kurita_puzzle	548	156	x	x			
ms-MY	5	1	Tikus	level_pre/level1/puzzle4_mouse/	ap2_puzzle4_background.jpg	1	x	tikus.m4a
1	ap2_puzzle4_mouse_puzzle	428	56	x	x			
ms-MY	5	2	Lembu	level_pre/level2/puzzle6_lembu/	ap2_puzzle6_background.jpg	1	x	lembu.m4a
1	ap2_puzzle6_lembu_puzzle	630	150	x	x			
ms-MY	6	1	Kancil	level_pre/level2/puzzle6_kancil/	ap2_puzzle6_background.jpg	1	x	kancil.m4a
1	ap2_puzzle6_kancil_puzzle	630	150	x	x			
ms-MY	6	2	Zirafah	level_pre/level2/puzzle5_zirafah/	ap2_puzzle5_background.jpg	1	x	zirafah.m4a
1	ap2_puzzle5_zirafah_puzzle	630	150	x	x			
ms-MY	7	1	Udang	level_pre/level2/puzzle7_udang/	ap2_puzzle7_background.jpg	1	x	udang.m4a
1	ap2_puzzle7_udang_puzzle	630	150	x	x			
ms-MY	7	2	Kambing	level_pre/level2/puzzle8_kambing/	ap2_puzzle8_background.jpg	1	x	kambing.m4a
1	ap2_puzzle8_kambing_puzzle	630	150	x	x
ms-MY	8	1	Pepatung	level_pre/level3/puzzle9_pepatung/	ap2_puzzle9_background.jpg	1	x	pepatung.m4a
1	ap2_puzzle9_pepatung_puzzle	630	150	x	x
ms-MY	8	2	Buaya	level_pre/level3/puzzle10_buaya/	ap2_puzzle10_background.jpg	1	x	buaya.m4a
1	ap2_puzzle10_buaya_puzzle	630	150	x	x
ms-MY	9	1	Kuda Belang	level_pre/level3/puzzle11_kudabelang/	ap2_puzzle11_background.jpg	1	x	kuda_belang.m4a
1	ap2_puzzle11_kuda_belang_puzzle	630	150	x	x
ms-MY	10	1	Badak Air	level_pre/level3/puzzle12_badakair/	ap2_puzzle12_background.jpg	1	x	badak_air.m4a
1	ap2_puzzle12_badak_air_puzzle	630	150	x	x
ms-MY	11	1	Lebah Madu	level1/puzzle1_lebahmadu/	ap_puzzle1_background.jpg	1	x	lebah_madu.m4a
1	ap_puzzle1_lebah_madu_puzzle	630	150	x	x
ms-MY	12	1	Kuda Laut	level1/puzzle2_kudalaut/	ap_puzzle2_background.jpg	1	x	kuda_laut.m4a
1	ap_puzzle2_kuda_laut_puzzle	630	150	x	x
ms-MY	13	1	Burung Unta	level1/puzzle3_burungunta/	ap_puzzle3_background.jpg	1	x	burung_unta.m4a
1	ap_puzzle3_burung_unta_puzzle	630	150	x	x
ms-MY	14	1	Burung Hantu	level1/puzzle4_burunghantu/	ap_puzzle4_background.jpg	1	x	burung_hantu.m4a
1	ap_puzzle4_burung_hantu_puzzle	630	150	x	x
ms-MY	15	1	Ikan Pari	level2/puzzle5_ikanpari/	ap_puzzle5_background.jpg	1	x	ikan_pari.m4a
1	ap_puzzle5_ikan_pari_puzzle	630	150	x	x
ms-MY	16	1	Anjing Laut	level2/puzzle6_anjinglaut/	ap_puzzle6_background.jpg	1	x	anjing_laut.m4a
1	ap_puzzle6_anjing_laut_puzzle	630	150	x	x
ms-MY	17	1	Ular Sawa	level2/puzzle7_ularsawa/	ap_puzzle7_background.jpg	1	x	ular_sawa.m4a
1	ap_puzzle7_ular_sawa_puzzle	630	150	x	x			
ms-MY	19	1	Cow	level2/puzzle7/	ap_puzzle7_background.jpg	4	_ap_puzzle7_mask.png	cow.m4a
1	ap_puzzle7_cow1_puzzle	436	580	x	x			
2	ap_puzzle7_cow2_puzzle	760	22	x	x			
3	ap_puzzle7_cow3_puzzle	1184	580	x	x			
4	ap_puzzle7_cow4_puzzle	1302	72	x	x			
ms-MY	20	1	Hyena	level2/puzzle8/	ap_puzzle8_background.jpg	4	_ap_puzzle8_mask.png	hyena.m4a
1	ap_puzzle8_hyena1_puzzle	394	668	x	x			
2	ap_puzzle8_hyena2_puzzle	930	572	x	x			
3	ap_puzzle8_hyena3_puzzle	394	58	x	x			
4	ap_puzzle8_hyena4_puzzle	791	30	x	x			
ms-MY	21	1	Monkeys and Crocodile	level3/puzzle9/	ap_puzzle9_background.jpg	5	_ap_puzzle9_mask.png	monkeys_and_crocodile.m4a
1	ap_puzzle9_crocodile_puzzle	710	0	x	x			
2	ap_puzzle9_monkey1_puzzle	474	530	x	x			
3	ap_puzzle9_monkey2_puzzle	654	616	x	x			
4	ap_puzzle9_monkey3_puzzle	1510	442	x	x			
5	ap_puzzle9_monkey4_puzzle	1966	672	x	x			
ms-MY	22	1	Cacti and Camels	level3/puzzle10/	ap_puzzle10_background.jpg	5	_ap_puzzle10_mask.png	cacti_and_camels.m4a
1	ap_puzzle10_bush1_puzzle	22	300	x	x			
2	ap_puzzle10_bush2_puzzle	352	684	x	x			
3	ap_puzzle10_bush3_puzzle	1696	30	x	x			
4	ap_puzzle10_camel1_puzzle	550	162	x	x			
5	ap_puzzle10_camel2_puzzle	1235	290	x	x			
ms-MY	23	1	Chickens	level3/puzzle11/	ap_puzzle11_background.jpg	6	_ap_puzzle11_mask.png	chickens.m4a
1	ap_puzzle11_chicken1_puzzle	120	376	x	x			
