#Language	Level	Worksheet	Problems	Blue Sound	Red Bird Sound	Bread1 Word	Bread1 Sound	Bread1 Phonic	Bread1 Phonic Place	Bread2 Word	Bread2 Sound	Bread2 Phonic	Bread2 Phonic Place	Bread3 Word	Bread3 Sound	Bread3 Phonic	Bread3 Phonic Place	Bread4 Word	Bread4 Sound	Bread4 Phonic	Bread4 Phonic Place
ms-MY	1	1	1	ba_sound.m4a	be_sound.m4a	baca	baca.m4a	blue	1,2	beruk	beruk.m4a	red	1,2	besi	besi.m4a	red	1,2	badan	badan.m4a	blue	1,2
ms-MY	1	1	2	na_sound.m4a	ni_sound.m4a	nila	nila.m4a	red	1,2	nasi	nasi.m4a	blue	1,2	nira	nira.m4a	red	1,2	naga	naga.m4a	blue	1,2
ms-MY	1	1	3	la_sound.m4a	lo_sound.m4a	logo	logo.m4a	red	1,2	lari	lari.m4a	blue	1,2	logam	logam.m4a	red	1,2	lagu	lagu.m4a	blue	1,2
ms-MY	1	2	1	ga_sound.m4a	ge_sound.m4a	garam	garam.m4a	blue	1,2	gerun	gerun.m4a	red	1,2	getah	getah.m4a	red	1,2	garang	garang.m4a	blue	1,2
ms-MY	1	2	2	ku_sound.m4a	ke_sound.m4a	kuda	kuda.m4a	blue	1,2	kuning	kuning.m4a	blue	1,2	ketam	ketam.m4a	red	1,2	kerang	kerang.m4a	red	1,2
ms-MY	1	2	3	ci_sound.m4a	ce_sound.m4a	ceri	ceri.m4a	red	1,2	cerek	cerek.m4a	red	1,2	ciku	ciku.m4a	blue	1,2	cili	cili.m4a	blue	1,2
ms-MY	2	1	1	ke_sound.m4a	le_sound.m4a	kereta	kereta.m4a	blue	1,2	kepala	kepala.m4a	blue	1,2	lelaki	lelaki.m4a	red	1,2	kelapa	kelapa.m4a	blue	1,2
ms-MY	2	1	2	ka_sound.m4a	me_sound.m4a	kasut	kasut.m4a	blue	1,2	menara	menara.m4a	red	1,2	menari	menari.m4a	red	1,2	menyanyi	menyanyi.m4a	red	1,2
ms-MY	2	1	3	pe_sound.m4a	te_sound.m4a	petola	petola.m4a	blue	1,2	petani	petani.m4a	blue	1,2	penari	penari.m4a	blue	1,2	telaga	telaga.m4a	red	1,2
ms-MY	2	2	1	se_sound.m4a	ki_sound.m4a	sepatu	sepatu.m4a	blue	1,2	sesiku	sesiku.m4a	blue	1,2	sesudu	sesudu.m4a	blue	1,2	kimono	kimono.m4a	red	1,2
ms-MY	2	2	2	re_sound.m4a	pu_sound.m4a	rebana	rebana.m4a	blue	1,2	rerama	rerama.m4a	blue	1,2	remaja	remaja.m4a	blue	1,2	putera	putera.m4a	red	1,2
ms-MY	2	2	3	je_sound.m4a	to_sound.m4a	jejari	jejari.m4a	blue	1,2	jejantas	jejantas.m4a	blue	1,2	jejaka	jejaka.m4a	blue	1,2	tomato	tomato.m4a	red	1,2
ms-MY	3	1	1	ri_sound.m4a	la_sound.m4a	kurita	kurita.m4a	blue	3,4	selalu	selalu.m4a	red	3,4	kerisi	kerisi.m4a	blue	3,4	perisa	perisa.m4a	blue	3,4
ms-MY	3	1	2	ni_sound.m4a	ma_sound.m4a	meniti	meniti.m4a	blue	3,4	wanita	wanita.m4a	blue	3,4	remaja	remaja.m4a	red	3,4	semasa	semasa.m4a	red	3,4
ms-MY	3	1	3	pu_sound.m4a	li_sound.m4a	kelisa	kelisa.m4a	red	3,4	jelita	jelita.m4a	red	3,4	pelita	pelita.m4a	red	3,4	sepupu	sepupu.m4a	blue	3,4
ms-MY	3	2	1	ri_sound.m4a	la_sound.m4a	kurita	kurita.m4a	blue	3,4	selalu	selalu.m4a	red	3,4	kerisi	kerisi.m4a	blue	3,4	perisa	perisa.m4a	blue	3,4
ms-MY	3	2	2	ni_sound.m4a	ma_sound.m4a	meniti	meniti.m4a	blue	3,4	wanita	wanita.m4a	blue	3,4	remaja	remaja.m4a	red	3,4	semasa	semasa.m4a	red	3,4
ms-MY	3	2	3	pu_sound.m4a	li_sound.m4a	kelisa	kelisa.m4a	red	3,4	jelita	jelita.m4a	red	3,4	pelita	pelita.m4a	red	3,4	sepupu	sepupu.m4a	blue	3,4
ms-MY	4	1	1	ti_sound.m4a	na_sound.m4a	menara	menara.m4a	red	3,4	kenari	kenari.m4a	red	3,4	ketika	ketika.m4a	blue	3,4	kenapa	kenapa.m4a	red	3,4
ms-MY	4	1	2	ha_sound.m4a	ru_sound.m4a	guru	guru.m4a	red	3,4	kerusi	kerusi.m4a	red	3,4	bahaya	bahaya.m4a	blue	3,4	bahasa	bahasa.m4a	blue	3,4
ms-MY	4	1	3	me_sound.m4a	ka_sound.m4a	sekali	sekali.m4a	red	3,4	pameran	pameran.m4a	blue	3,4	kemeja	kemeja.m4a	blue	3,4	lokasi	lokasi.m4a	red	3,4
ms-MY	4	2	1	ti_sound.m4a	na_sound.m4a	menara	menara.m4a	red	3,4	kenari	kenari.m4a	red	3,4	ketika	ketika.m4a	blue	3,4	kenapa	kenapa.m4a	red	3,4
ms-MY	4	2	2	ha_sound.m4a	ru_sound.m4a	guru	guru.m4a	red	3,4	kerusi	kerusi.m4a	red	3,4	bahaya	bahaya.m4a	blue	3,4	bahasa	bahasa.m4a	blue	3,4
ms-MY	4	2	3	me_sound.m4a	ka_sound.m4a	sekali	sekali.m4a	red	3,4	pameran	pameran.m4a	blue	3,4	kemeja	kemeja.m4a	blue	3,4	lokasi	lokasi.m4a	red	3,4
ms-MY	5	1	1	ku_sound.m4a	ju_sound.m4a	laku	laku.m4a	blue	3,4	saku	saku.m4a	blue	3,4	baju	baju.m4a	red	3,4	keju	keju.m4a	red	3,4
ms-MY	5	1	2	ki_sound.m4a	li_sound.m4a	daki	daki.m4a	blue	3,4	tali	tali.m4a	red	3,4	baki	baki.m4a	blue	3,4	pili	pili.m4a	red	3,4
ms-MY	5	1	3	pu_sound.m4a	pi_sound.m4a	sapu	sapu.m4a	blue	3,4	api	api.m4a	red	2,3	topi	topi.m4a	red	3,4	lampu	lampu.m4a	blue	4,5
ms-MY	5	2	1	ku_sound.m4a	ju_sound.m4a	laku	laku.m4a	blue	3,4	saku	saku.m4a	blue	3,4	baju	baju.m4a	red	3,4	keju	keju.m4a	red	3,4
ms-MY	5	2	2	ki_sound.m4a	li_sound.m4a	daki	daki.m4a	blue	3,4	tali	tali.m4a	red	3,4	baki	baki.m4a	blue	3,4	pili	pili.m4a	red	3,4
ms-MY	5	2	3	pu_sound.m4a	pi_sound.m4a	sapu	sapu.m4a	blue	3,4	api	api.m4a	red	2,3	topi	topi.m4a	red	3,4	lampu	lampu.m4a	blue	4,5
ms-MY	6	1	1	lo_sound.m4a	go_sound.m4a	pagoda	pagoda.m4a	red	3,4	solo	solo.m4a	blue	3,4	polo	polo.m4a	blue	3,4	kilo	kilo.m4a	blue	3,4
ms-MY	6	1	2	si_sound.m4a	gi_sound.m4a	gigi	gigi.m4a	red	1,2	ragi	ragi.m4a	red	3,4	basi	basi.m4a	blue	3,4	nasi	nasi.m4a	blue	3,4
ms-MY	6	1	3	nu_sound.m4a	tu_sound.m4a	satu	satu.m4a	red	3,4	menu	menu.m4a	blue	3,4	batu	batu.m4a	red	3,4	ratu	ratu.m4a	red	3,4
ms-MY	6	2	1	lo_sound.m4a	go_sound.m4a	pagoda	pagoda.m4a	red	3,4	solo	solo.m4a	blue	3,4	polo	polo.m4a	blue	3,4	kilo	kilo.m4a	blue	3,4
ms-MY	6	2	2	si_sound.m4a	gi_sound.m4a	gigi	gigi.m4a	red	1,2	ragi	ragi.m4a	red	3,4	basi	basi.m4a	blue	3,4	nasi	nasi.m4a	blue	3,4
ms-MY	6	2	3	nu_sound.m4a	tu_sound.m4a	satu	satu.m4a	red	3,4	menu	menu.m4a	blue	3,4	batu	batu.m4a	red	3,4	ratu	ratu.m4a	red	3,4
ms-MY	7	1	1	kam_sound.m4a	lem_sound.m4a	lembing	lembing.m4a	red	1,2,3	kambing	kambing.m4a	blue	1,2,3	lembu	lembu.m4a	red	1,2,3	kampung	kampung.m4a	blue	1,2,3
ms-MY	7	1	2	lam_sound.m4a	sam_sound.m4a	lampin	lampin.m4a	blue	1,2,3	lampu	lampu.m4a	blue	1,2,3	sampah	sampah.m4a	red	1,2,3	sampan	sampan.m4a	red	1,2,3
ms-MY	7	1	3	bun_sound.m4a	ban_sound.m4a	buncis	buncis.m4a	blue	1,2,3	bantal	bantal.m4a	red	1,2,3	buntal	buntal.m4a	blue	1,2,3	bantah	bantah.m4a	red	1,2,3
ms-MY	7	2	1	kam_sound.m4a	lem_sound.m4a	lembing	lembing.m4a	red	1,2,3	kambing	kambing.m4a	blue	1,2,3	lembu	lembu.m4a	red	1,2,3	kampung	kampung.m4a	blue	1,2,3
ms-MY	7	2	2	lam_sound.m4a	sam_sound.m4a	lampin	lampin.m4a	blue	1,2,3	lampu	lampu.m4a	blue	1,2,3	sampah	sampah.m4a	red	1,2,3	sampan	sampan.m4a	red	1,2,3
ms-MY	7	2	3	bun_sound.m4a	ban_sound.m4a	buncis	buncis.m4a	blue	1,2,3	bantal	bantal.m4a	red	1,2,3	buntal	buntal.m4a	blue	1,2,3	bantah	bantah.m4a	red	1,2,3
ms-MY	8	1	1	ton_sound.m4a	tan_sound.m4a	tandas	tandas.m4a	red	1,2,3	tonton	tonton.m4a	blue	1,2,3	tandus	tandus.m4a	red	1,2,3	tanduk	tanduk.m4a	red	1,2,3
ms-MY	8	1	2	mer_sound.m4a	ber_sound.m4a	merbuk	merbuk.m4a	blue	1,2,3	mercun	mercun.m4a	blue	1,2,3	bersin	bersin.m4a	red	1,2,3	bersih	bersih.m4a	red	1,2,3
ms-MY	8	1	3	kan_sound.m4a	ken_sound.m4a	kentang	kentang.m4a	red	1,2,3	kantin	kantin.m4a	blue	1,2,3	kenduri	kenduri.m4a	red	1,2,3	kantung	kantung.m4a	blue	1,2,3
ms-MY	8	2	1	ton_sound.m4a	tan_sound.m4a	tandas	tandas.m4a	red	1,2,3	tonton	tonton.m4a	blue	1,2,3	tandus	tandus.m4a	red	1,2,3	tanduk	tanduk.m4a	red	1,2,3
ms-MY	8	2	2	mer_sound.m4a	ber_sound.m4a	merbuk	merbuk.m4a	blue	1,2,3	mercun	mercun.m4a	blue	1,2,3	bersin	bersin.m4a	red	1,2,3	bersih	bersih.m4a	red	1,2,3
ms-MY	8	2	3	kan_sound.m4a	ken_sound.m4a	kentang	kentang.m4a	red	1,2,3	kantin	kantin.m4a	blue	1,2,3	kenduri	kenduri.m4a	red	1,2,3	kantung	kantung.m4a	blue	1,2,3
ms-MY	9	1	1	tam_sound.m4a	kan_sound.m4a	hitam	hitam.m4a	blue	3,4,5	ketam	ketam.m4a	blue	3,4,5	ikan	ikan.m4a	red	2,3,4	makan	makan.m4a	red	3,4,5
ms-MY	9	1	2	jam_sound.m4a	lam_sound.m4a	pinjam	pinjam.m4a	blue	4,5,6	talam	talam.m4a	red	3,4,5	tajam	tajam.m4a	blue	3,4,5	dalam	dalam.m4a	red	3,4,5
ms-MY	9	1	3	pul_sound.m4a	pal_sound.m4a	tumpul	tumpul.m4a	blue	4,5,6	sampul	sampul.m4a	blue	4,5,6	tampal	tampal.m4a	red	4,5,6	kapal	kapal.m4a	red	3,4,5
ms-MY	9	2	1	tam_sound.m4a	kan_sound.m4a	hitam	hitam.m4a	blue	3,4,5	ketam	ketam.m4a	blue	3,4,5	ikan	ikan.m4a	red	2,3,4	makan	makan.m4a	red	3,4,5
