#languageTag	#level	#problem	#picture	#word_0	#word_0_loc	#word_0_voice	#word_1	#word_1_loc	#word_1_voice	#word_2	#word_2_loc	#word_2_voice	#word_3	#word_3_loc	#word_3_voice	#word_4	#word_4_loc	#word_4_voice	#word_5	#word_5_loc	#word_5_voice	#word_6	#word_6_loc	#word_6_voice
ms-MY	1	1	image_1_1.jpg	makanan	280.-1520	makanan.m4a	telur	1305.-725	telur.m4a	roti	253.-899	roti.m4a	susu	995.-1252	susu.m4a									
ms-MY	1	2	image_1_2.jpg	sayur-sayuran	280.-1520	sayursayuran.m4a	tomato	292.-607	tomato.m4a	kentang	1298.-740	kentang.m4a	bawang	1078.-1243	bawang.m4a									
ms-MY	1	3	image_1_3.jpg	buah-buahan	280.-1520	buahbuahan.m4a	pisang	1247.-753	pisang.m4a	oren	253.-899	oren.m4a	ceri	806.-1198	ceri.m4a									
ms-MY	1	4	image_1_4.jpg	buah tropika	280.-1520	buahtropika.m4a	mangga	1188.-1172	mangga.m4a	nanas	531.-1265	nanas.m4a	kelapa	531.-463	kelapa.m4a									
ms-MY	2	1	image_2_1.jpg	buah-buahan	280.-1520	buahbuahan.m4a	epal	1116.-1019	epal.m4a	betik	373.-577	betik.m4a	anggur	1305.-448	anggur.m4a	pic	814.-1200	pic.m4a						
ms-MY	2	2	image_2_2.jpg	buah-buahan	280.-1520	buahbuahan.m4a	kelapa	313.-692	kelapa.m4a	tempurung	313.-457	tempurung.m4a	betik	1239.-1282	betik.m4a	biji	1239.-1028	biji.m4a						
ms-MY	2	3	image_2_3.jpg	minuman	746.-944	minuman.m4a	air	255.-446	air.m4a	susu	1333.-385	susu.m4a	jus	1307.-1392	jus.m4a	kopi	476.-1538	kopi.m4a	soda	774.-312	soda.m4a			
ms-MY	2	4	image_2_4.jpg	makanan	280.-1520	makanan.m4a	buah-buahan	416.-1169	buahbuahan.m4a	sayur-sayuran	1220.-518	sayursayuran.m4a	daging	423.-664	daging.m4a	bijirin	1161.-1190	bijirin.m4a						
ms-MY	3	1	image_3_1.jpg	keluarga	280.-1520	keluarga.m4a	ibu	1280.-1315	ibu.m4a	ayah	248.-537	ayah.m4a	abang	729.-518	abang.m4a	kakak	949.-1163	kakak.m4a						
ms-MY	3	2	image_3_2.jpg	keluarga	280.-1520	keluarga.m4a	nenek	1108.-928	nenek.m4a	datuk	1304.-1259	datuk.m4a	ibu	899.-732	ibu.m4a	bapa	608.-1285	bapa.m4a						
ms-MY	3	3	image_3_3.jpg	orang	256.-1443	orang.m4a	lelaki	607.-782	lelaki.m4a	perempuan	950.-1256	perempuan.m4a	budak lelaki	319.-539	budaklelaki.m4a	budak perempuan	1185.-720	budakperempuan.m4a						
ms-MY	3	4	image_3_4.jpg	pekerjaan	280.-1520	pekerjaan.m4a	guru	248.-537	guru.m4a	doktor	811.-463	doktor.m4a	petani	1228.-1334	petani.m4a	juruterbang	1252.-633	juruterbang.m4a						
ms-MY	4	1	image_4_1.jpg	haiwan	758.-1520	haiwan.m4a	anjing	1251.-1045	anjing.m4a	kucing	972.-373	kucing.m4a	lembu	297.-767	lembu.m4a									
