#  LetterMatching_Levels.tsv
#  TodoSchool on Oct 21
#
#  Copyright (c) 2016 Enuma
#  See LICENSE.md for more details.
#
# 레벨 데이터를 변경하려면:
#     우선 Google Spreadsheet상에서 이 파일을 수정한 후에
#     File > Download as > Tab-separated values (.tsv) 를 선택합니다.
#     다운로드한 파일 이름을 LetterMatching_Levels.tsv으로 변경합니다.
#     "${XPRIZE_PATH}/Resources/Games/LetterMatching"에 tsv 파일을 복사해 넣습니다.
#
# LanguageTag	# LevelID	# WorksheetID	# ProblemID	# PieceID		# MatchSound	# Image_A(0)	# Image_B(0)
ms-MY	1	1	1	1		kucing.m4a	picture_cards/cat.png	picture_cards/cat.png
ms-MY	1	1	1	2		anjing.m4a	picture_cards/dog.png	picture_cards/dog.png
ms-MY	1	1	1	3		kumbang.m4a	picture_cards/bug.png	picture_cards/bug.png
ms-MY	1	1	1	4		katil.m4a	picture_cards/bed.png	picture_cards/bed.png
ms-MY	1	1	1	5		ayam_betina.m4a	picture_cards/hen.png	picture_cards/hen.png
ms-MY	1	1	1	6		matahari.m4a	picture_cards/sun.png	picture_cards/sun.png
ms-MY	1	1	2	1		bulan.m4a	picture_cards/bulan.png	picture_cards/bulan.png
ms-MY	1	1	2	2		mainan.m4a	picture_cards/toy.png	picture_cards/toy.png
ms-MY	1	1	2	3		kanak-kanak.m4a	picture_cards/kid.png	picture_cards/kid.png
ms-MY	1	1	2	4		topi.m4a	picture_cards/hat.png	picture_cards/hat.png
ms-MY	1	1	2	5		lembu.m4a	picture_cards/cow.png	picture_cards/cow.png
ms-MY	1	1	2	6		kotak.m4a	picture_cards/box.png	picture_cards/box.png
ms-MY	2	1	1	1		pokok.m4a	picture_cards/tree.png	picture_cards/tree.png
ms-MY	2	1	1	2		dram.m4a	picture_cards/drum.png	picture_cards/drum.png
ms-MY	2	1	1	3		muka.m4a	picture_cards/face.png	picture_cards/face.png
ms-MY	2	1	1	4		api.m4a	picture_cards/fire.png	picture_cards/fire.png
ms-MY	2	1	1	5		kek.m4a	picture_cards/cake.png	picture_cards/cake.png
ms-MY	2	1	1	6		buku.m4a	picture_cards/book.png	picture_cards/book.png
ms-MY	2	1	2	1		itik.m4a	picture_cards/duck.png	picture_cards/duck.png
ms-MY	2	1	2	2		daun.m4a	picture_cards/leaf.png	picture_cards/leaf.png
ms-MY	2	1	2	3		katak.m4a	picture_cards/frog.png	picture_cards/frog.png
ms-MY	2	1	2	4		bintang.m4a	picture_cards/star.png	picture_cards/star.png
ms-MY	2	1	2	5		bayi.m4a	picture_cards/baby.png	picture_cards/baby.png
ms-MY	2	1	2	6		susu.m4a	picture_cards/milk.png	picture_cards/milk.png
ms-MY	3	1	1	1		bapa.m4a	picture_cards/father.png	picture_cards/father.png
ms-MY	3	1	1	2		ibu.m4a	picture_cards/mother.png	picture_cards/mother.png
ms-MY	3	1	1	3		datuk.m4a	picture_cards/grandfather.png	picture_cards/grandfather.png
ms-MY	3	1	1	4		nenek.m4a	picture_cards/grandmother.png	picture_cards/grandmother.png
ms-MY	3	1	1	5		kakak.m4a	picture_cards/sister.png	picture_cards/sister.png
ms-MY	3	1	1	6		abang.m4a	picture_cards/brother.png	picture_cards/brother.png
ms-MY	3	1	2	1		itik.m4a	picture_cards/duck.png	picture_cards/duck.png
ms-MY	3	1	2	2		ayam.m4a	picture_cards/chicken.png	picture_cards/chicken.png
ms-MY	3	1	2	3		anjing.m4a	picture_cards/dog.png	picture_cards/dog.png
ms-MY	3	1	2	4		lembu.m4a	picture_cards/cow.png	picture_cards/cow.png
ms-MY	3	1	2	5		kucing.m4a	picture_cards/cat.png	picture_cards/cat.png
ms-MY	3	1	2	6		keldai.m4a	picture_cards/donkey.png	picture_cards/donkey.png
