# LanguageTag	# Level	#CardNumber	# TraceText	# FullText	# Image	# Voice
ms-MY	1	1	a	api	api.png	api.m4a
ms-MY	1	2	a	ayam	ayam.png	ayam.m4a
ms-MY	1	3	a	almari	almari.png	almari.m4a
ms-MY	2	1	b	bas	bas.png	bas.m4a
ms-MY	2	2	b	baldi	baldi.png	baldi.m4a
ms-MY	2	3	b	basikal	basikal.png	basikal.m4a
ms-MY	3	1	c	cat	cat.png	cat.m4a
ms-MY	3	2	c	cincin	cincin.png	cincin.m4a
ms-MY	3	3	c	cacing	cacing.png	cacing.m4a
ms-MY	4	1	d	dadu	dadu.png	dadu.m4a
ms-MY	4	2	d	durian	durian.png	durian.m4a
ms-MY	4	3	d	dacing	dacing.png	dacing.m4a
ms-MY	5	1	e	emu	emu.png	emu.m4a
ms-MY	5	2	e	epal	epal.png	epal.m4a
ms-MY	5	3	e	emak	emak.png	emak.m4a
ms-MY	6	1	f	fail	fail.png	fail.m4a
ms-MY	6	2	f	foto	foto.png	foto.m4a
ms-MY	6	3	f	farmasi	farmasi.png	farmasi.m4a
ms-MY	7	1	g	gigi	gigi.png	gigi.m4a
ms-MY	7	2	g	gajah	gajah.png	gajah.m4a
ms-MY	7	3	g	gendang	gendang.png	gendang.m4a
ms-MY	8	1	h	hos	hos.png	hos.m4a
ms-MY	8	2	h	hujan	hujan.png	hujan.m4a
ms-MY	8	3	h	hadiah	hadiah.png	hadiah.m4a
ms-MY	9	1	i	ikan	ikan.png	ikan.m4a
ms-MY	9	2	i	itik	itik.png	itik.m4a
ms-MY	9	3	i	iglu	iglu.png	iglu.m4a
ms-MY	10	1	j	jam	jam.png	jam.m4a
ms-MY	10	2	j	jari	jari.png	jari.m4a
ms-MY	10	3	j	jerung	jerung.png	jerung.m4a
ms-MY	11	1	k	kuda	kuda.png	kuda.m4a
ms-MY	11	2	k	kotak	kotak.png	kotak.m4a
ms-MY	11	3	k	karpet	karpet.png	karpet.m4a
ms-MY	12	1	l	lima	lima.png	lima.m4a
ms-MY	12	2	l	lalat	lalat.png	lalat.m4a
ms-MY	12	3	l	landak	landak.png	landak.m4a
ms-MY	13	1	m	mata	mata.png	mata.m4a
ms-MY	13	2	m	misai	misai.png	misai.m4a
ms-MY	13	3	m	mangga	mangga.png	mangga.m4a
ms-MY	14	1	n	nasi	nasi.png	nasi.m4a
ms-MY	14	2	n	ninja	ninja.png	ninja.m4a
ms-MY	14	3	n	nyamuk	nyamuk.png	nyamuk.m4a
ms-MY	15	1	o	oren	oren.png	oren.m4a
ms-MY	15	2	o	otak	otak.png	otak.m4a
ms-MY	15	3	o	ombak	ombak.png	ombak.m4a
ms-MY	16	1	p	pintu	pintu.png	pintu.m4a
ms-MY	16	2	p	pisang	pisang.png	pisang.m4a
ms-MY	16	3	p	permata	permata.png	permata.m4a
ms-MY	17	1	q	qari	qari.png	qari.m4a
ms-MY	17	2	q	qariah	qariah.png	qariah.m4a
ms-MY	17	3	q	Quran	quran.png	quran.m4a
ms-MY	18	1	r	rusa	rusa.png	rusa.m4a
ms-MY	18	2	r	rumput	rumput.png	rumput.m4a
ms-MY	18	3	r	rambutan	rambutan.png	rambutan.m4a
ms-MY	19	1	s	susu	susu.png	susu.m4a
ms-MY	19	2	s	sungai	sungai.png	sungai.m4a
ms-MY	19	3	s	sarang	sarang.png	sarang.m4a
ms-MY	20	1	t	tali	tali.png	tali.m4a
ms-MY	20	2	t	tangga	tangga.png	tangga.m4a
ms-MY	20	3	t	tongkat	tongkat.png	tongkat.m4a
ms-MY	21	1	u	ubi	ubi.png	ubi.m4a
ms-MY	21	2	u	ulat	ulat.png	ulat.m4a
ms-MY	21	3	u	udang	udang.png	udang.m4a
ms-MY	22	1	v	van	van.png	van.m4a
ms-MY	22	2	v	vas	vas.png	vas.m4a
ms-MY	22	3	v	vitamin	vitamin.png	vitamin.m4a
ms-MY	23	1	w	wau	wau.png	wau.m4a
ms-MY	23	2	w	wang	wang.png	wang.m4a
ms-MY	23	3	w	warung	warung.png	warung.m4a
ms-MY	24	1	x	X	x.png	x.m4a
ms-MY	24	2	x	x-ray	x-ray.png	x-ray.m4a
ms-MY	24	3	x	xilofon	xilofon.png	xilofon.m4a
ms-MY	25	1	y	yak	yak.png	yak.m4a
ms-MY	25	2	y	yoyo	yoyo.png	yoyo.m4a
ms-MY	25	3	y	yoga	yoga.png	yoga.m4a
ms-MY	26	1	z	zirafah	zirafah.png	zirafah.m4a
ms-MY	26	2	z	zip	zip.png	zip.m4a
ms-MY	26	3	z	zigzag	zigzag.png	zigzag.m4a
