#데이터시트 카테고리------------------  #question type: 문형의 종류  #script: LC의 경우에는 오디오파일, RC의 경우에는 읽어야 할 지문을 의미함 #question: 질문에 해당하는 부분으로 문장이나 이미지, 빈칸이 들어 갈 수 있음  #audio: question의 오디오 파일 #answer type: 제시되는 보기의 종류로 text 또는 image  #answer count: 보기의 개수로 3개 또는 4개가 가능하다  #option1,2,3,4: 보기를 의미하고 랜덤으로 출력된다  #answer: 보기 중 답에 해당하는 보기를 써넣음. 이곳과 일치하는 보기를 정답 처리  #Question Type 설명------------------  #lcallinone: listening의 all in one 유형으로 좌측에서는 지문을 오디오로, 우측에서는 문제를 보여주는 유형  #rcallinone: reading의 all in one 유형으로 좌측에서는 지문을 텍스트로, 우측에서는 문제를 보여주는 유형  #listeningonly:listning divided 유형에서 지문을 오디오로 출력하기만 하는 부분으로 스토리가 음성으로 제시되고 페이지 버튼을 넘겨서 문제로 넘어가도록 한다.  #readingonly: reading divided 유형에서 읽기만 하는 부분으로 지문이 텍스트로 제시되고 아이들이 글을 스스로 읽은 뒤 페이지 버튼을 넘겨서 문제로 넘어가도록 한다.  #multiplechoices: diviided 유형에서 사용할 수 있는 선다형 문제유형  #fiiintheblank: diviided 유형에서 사용할 수 있는 문제로 문장의 빈칸을 채워넣는 문제유형  #ordering: diviided 유형에서 사용할 수 있는 문제로 주어진 문장의 순서를 배열하는 문제유형													
#LanguageTag	Level	WorkSheet	Problem	QuestionType	Script	Question	Audio	AnswerType	Option1	Option2	Option3	Option4	Answer
ms-MY	1	1	1	title	Cerita 1								
ms-MY	1	1	2	lcallinone	ms_my_lc_1_3_story.m4a	Ali kerja apa?	ms_my_lc_1_3_q1.m4a	text	Doktor	Guru	Petani		Guru
ms-MY	1	1	3	lcallinone	ms_my_lc_1_3_story.m4a	Ali dan isterinya suka buat apa?	ms_my_lc_1_3_q2.m4a	text	Mengajar	Tidur	Makan		Mengajar
ms-MY	1	1	4	title	Cerita 2								
ms-MY	1	1	5	listeningonly	ms_my_lc_1_7_story.m4a								
ms-MY	1	1	6	multiplechoices		Siti suka buah apa?	ms_my_lc_1_7_q1.m4a	text	Epal	Pisang	Mangga		Mangga
ms-MY	1	1	7	fillintheblank		Mangga [manis] dan berair.	ms_my_lc_1_7_q2.m4a	text	masin	pahit			manis
ms-MY	2	1	1	title	Cerita 1								
ms-MY	2	1	2	lcallinone	ms_my_lc_1_1_story.m4a	Ali mahu beli apa?	ms_my_lc_1_1_q1.m4a	text	Basikal	Rumah	Matahari		Basikal
ms-MY	2	1	3	lcallinone	ms_my_lc_1_1_story.m4a	Ali rasa macam mana?	ms_my_lc_1_1_q2.m4a	text	Marah	Gembira	Sedih		Sedih
ms-MY	2	1	4	title	Cerita 2								
ms-MY	2	1	5	listeningonly	ms_my_lc_1_4_story.m4a								
ms-MY	2	1	6	multiplechoices		Kumar kerja apa?	ms_my_lc_1_4_q1.m4a	text	Polis	Guru	Doktor		Polis
ms-MY	2	1	7	fillintheblank		Kumar [membantu] orang kampung.	ms_my_lc_1_4_q2.m4a	text	bermain	melihat			membantu
ms-MY	3	1	1	title	Cerita 1								
ms-MY	3	1	2	lcallinone	ms_my_lc_1_2_story.m4a	Datuk ada pokok apa?	ms_my_lc_1_2_q1.m4a	text	Kelapa	Mangga	Oren		Mangga
ms-MY	3	1	3	fillintheblank	ms_my_lc_1_2_story.m4a	Pokok ada banyak [buah].	ms_my_lc_1_2_q2.m4a	text	sarang	rumput			buah
ms-MY	3	1	4	title	Cerita 2								
ms-MY	3	1	5	listeningonly	ms_my_lc_1_8_story.m4a								
ms-MY	3	1	6	multiplechoices		Buaya hidup di mana?	ms_my_lc_1_8_q1.m4a	text	Hanya di darat	Hanya di air	Di darat dan di air		Di darat dan di air
ms-MY	3	1	7	fillintheblank		Buaya ialah haiwan [buas].	ms_my_lc_1_8_q2.m4a	text	baik	jinak			buas
ms-MY	4	1	1	title	Cerita 1								
ms-MY	4	1	2	lcallinone	ms_my_lc_1_5_story.m4a	Amir suka buat apa?	ms_my_lc_1_5_q1.m4a	text	Menyanyi	Menari	Berlari		Berlari
ms-MY	4	1	3	lcallinone	ms_my_lc_1_5_story.m4a	Amir berlari ke mana?	ms_my_lc_1_5_q2.m4a	text	Pasar	Pantai	Klinik		Pantai
ms-MY	4	1	4	title	Cerita 2								
ms-MY	4	1	5	lcallinone	ms_my_lc_1_6_story.m4a	Devi suka buat apa?	ms_my_lc_1_6_q1.m4a	text	Memasak	Menari	Berlari		Menari
ms-MY	4	1	6	fillintheblank	ms_my_lc_1_6_story.m4a	Devi menari ikut [muzik].	ms_my_lc_1_6_q2.m4a	text	video	buku			muzik
ms-MY	5	1	1	title	Cerita 1								
ms-MY	5	1	2	listeningonly	ms_my_lc_1_9_story.m4a								
ms-MY	5	1	3	fillintheblank		Kucing kecil tetapi [cepat].	ms_my_lc_1_9_q1.m4a	text	perlahan	tinggi			cepat
ms-MY	5	1	4	multiplechoices		Kucing suka kejar apa?	ms_my_lc_1_9_q2.m4a	text	Pokok	Tikus	Arnab		Tikus
ms-MY	5	1	5	title	Cerita 2								
ms-MY	5	1	6	listeningonly	ms_my_lc_1_10_story.m4a								
ms-MY	5	1	7	fillintheblank		Matahari terang dan [panas].	ms_my_lc_1_10_q1.m4a	text	sejuk	gelap			panas
ms-MY	5	1	8	multiplechoices		Matahari bersinar pada waktu bila?	ms_my_lc_1_10_q2.m4a	text	Siang	Malam	Hujan		Siang
ms-MY	6	1	1	title	Cerita 1								
ms-MY	6	1	2	readingonly	Aini suka pergi sekolah. Aini suka belajar. Guru Aini baik.								
ms-MY	6	1	3	fillintheblank		Aini suka [belajar].	ms_my_rc_6_1_p3_q.m4a	text	berlari	berjalan			belajar
ms-MY	6	1	4	multiplechoices		Aini suka buat apa?	ms_my_rc_6_1_p4_q.m4a	text	Pergi ke sekolah	Pergi ke hospital	Pergi ke kedai		Pergi ke sekolah
ms-MY	6	2	1	title	Cerita 2								
ms-MY	6	2	2	readingonly	Ravi suka haiwan. Ravi suka haiwan kecil. Ravi suka haiwan besar. Ravi suka semua haiwan.								
ms-MY	6	2	3	fillintheblank		Ravi suka [semua] jenis haiwan.	ms_my_rc_6_2_p3_q.m4a	text	satu	dua			semua
ms-MY	6	2	4	multiplechoices		Ravi suka apa?	ms_my_rc_6_2_p4_q.m4a	text	Haiwan	Burung	Gunung		Haiwan
ms-MY	7	1	1	title	Cerita 1								
ms-MY	7	1	2	readingonly	Mangga sejenis buah. Mangga warna kuning. Mangga sedap dimakan.								
ms-MY	7	1	3	fillintheblank		Mangga sejenis [buah].	ms_my_rc_7_1_p3_q.m4a	text	haiwan	daging			buah
ms-MY	7	1	4	multiplechoices		Mangga warna apa?	ms_my_rc_7_1_p4_q.m4a	text	Biru	Putih	Kuning		Kuning
ms-MY	7	2	1	title	Cerita 2								
ms-MY	7	2	2	readingonly	Siti tinggal di kampung kecil. Siti ada banyak kawan di kampung. Siti suka main di kampung.								
ms-MY	7	2	3	fillintheblank		Siti tinggal di [kampung] kecil.	ms_my_rc_7_2_p3_q.m4a	text	bandar	rumah			kampung
ms-MY	7	2	4	multiplechoices		Siti suka buat apa di kampung?	ms_my_rc_7_2_p4_q.m4a	text	Bermain	Menyorok	Belajar		Bermain
ms-MY	8	1	1	title	Cerita 1								
ms-MY	8	1	2	readingonly	Buah-buahan sejenis makanan. Buah-buahan ada yang rasa manis, ada yang rasa masam.								
ms-MY	8	1	3	fillintheblank		Buah-buahan sejenis [makanan].	ms_my_rc_8_1_p3_q.m4a	text	haiwan	pokok			makanan
ms-MY	8	1	4	multiplechoices		Buah-buahan rasa apa?	ms_my_rc_8_1_p4_q.m4a	text	Manis sahaja	Manis dan masam	Pahit		Manis dan masam
ms-MY	8	2	1	title	Cerita 2								
ms-MY	8	2	2	readingonly	Kavita suka berlari. Kavita berlari pantas. Kavita berlari jauh. Kavita berlari setiap hari.								
ms-MY	8	2	3	fillintheblank		Kavita suka buat apa?	ms_my_rc_8_2_p3_q.m4a	text	Berlari	Berenang	Tidur		
ms-MY	8	2	4	fillintheblank		Kavita berlari [pantas].	ms_my_rc_8_2_p4_q.m4a	text	perlahan	tinggi			
ms-MY	9	1	1	title	Cerita 1								
ms-MY	9	1	2	readingonly	Tikus itu kecil. Tikus itu warna hitam. Tikus itu suka makan.								
ms-MY	9	1	3	fillintheblank		Tikus itu [kecil].	ms_my_rc_9_1_p3_q.m4a	text	besar	tinggi			kecil
ms-MY	9	1	4	multiplechoices		Tikus suka buat apa?	ms_my_rc_9_1_p4_q.m4a	text	Makan	Menari	Terbang		Makan
ms-MY	9	2	1	title	Cerita 2								
ms-MY	9	2	2	readingonly	Kumar suka muzik. Kumar menyanyi ikut muzik. Kumar menari ikut muzik.								
ms-MY	9	2	3	fillintheblank		Kumar [menyanyi] ikut muzik.	ms_my_rc_9_2_p3_q.m4a	text	bekerja	tidur			menyanyi
ms-MY	9	2	4	multiplechoices		Kumar suka apa?	ms_my_rc_9_2_p4_q.m4a	text	Muzik	Memasak	Melukis		Muzik
ms-MY	10	1	1	title	Cerita 1								
ms-MY	10	1	2	lcallinone	ms_my_lc_2_3_story.m4a	Aini umur berapa?	ms_my_lc_2_3_q1.m4a	text	Satu tahun	Lima tahun	Lapan tahun		Lapan tahun
ms-MY	10	1	3	lcallinone	ms_my_lc_2_3_story.m4a	Aini bantu ayah buat apa?	ms_my_lc_2_3_q3.m4a	text	Potong rumput	Jaga ayam	Cuci baju		Jaga ayam
ms-MY	10	1	4	title	Cerita 2								
ms-MY	10	1	5	listeningonly	ms_my_lc_2_10_story.m4a								
ms-MY	10	1	6	fillintheblank		Pokok ada batang dan banyak [dahan].	ms_my_lc_2_10_q1.m4a	text	rambut	kain			dahan
ms-MY	10	1	7	multiplechoices		Batang dan dahan warna apa?	ms_my_lc_2_10_q2.m4a	text	Biru	Coklat	Merah		Coklat
ms-MY	11	1	1	title	Cerita 1								
ms-MY	11	1	2	listeningonly	ms_my_lc_2_2_story.m4a								
ms-MY	11	1	3	fillintheblank		Siti bantu siapa?	ms_my_lc_2_2_q2.m4a	text	Kawan	Ibu	Kakak		Ibu
ms-MY	11	1	4	multiplechoices		Siti dan ibu masak apa?	ms_my_lc_2_2_q3.m4a	text	Sayur	Daging	Kari		Kari
ms-MY	11	1	5	title	Cerita 2								
ms-MY	11	1	6	listeningonly	ms_my_lc_2_9_story.m4a								
ms-MY	11	1	7	fillintheblank		Pakcik Ali ada seekor [lembu].	ms_my_lc_2_9_q1.m4a	text	ayam	kucing			lembu
ms-MY	11	1	8	fillintheblank		Kulit lembu ada banyak [warna].	ms_my_lc_2_9_q2.m4a	text	daun	rambut			warna
ms-MY	12	1	1	title	Cerita 1								
ms-MY	12	1	2	listeningonly	ms_my_lc_2_7_story.m4a								
ms-MY	12	1	3	multiplechoices		Ming pandai buat apa?	ms_my_lc_2_7_q1.m4a	text	Menulis cerita	Menyanyi	Berenang		Menulis cerita
ms-MY	12	1	4	fillintheblank		Dia tulis cerita gembira dan [sedih].	ms_my_lc_2_7_q3.m4a	text	seram	lucu			sedih
ms-MY	12	1	5	title	Cerita 2								
ms-MY	12	1	6	listeningonly	ms_my_lc_2_11_story.m4a								
ms-MY	12	1	7	fillintheblank		Kavita ada seorang adik [lelaki].	ms_my_lc_2_11_q1.m4a	text	perempuan	besar			lelaki
ms-MY	12	1	8	fillintheblank		Kavita sayang siapa?	ms_my_lc_2_11_q2.m4a	text	Ibunya	Adiknya	Bapanya		Adiknya
ms-MY	13	1	1	title	Cerita 1								
ms-MY	13	1	2	listeningonly	ms_my_lc_2_1_story.m4a								
ms-MY	13	1	3	multiplechoices		Ming mahu melawat siapa?	ms_my_lc_2_1_q1.m4a	text	Abangnya	Kawannya	Ayahnya		Abangnya
ms-MY	13	1	4	multiplechoices		Abang Ming kerja di mana?	ms_my_lc_2_1_q3.m4a	text	Bas	Kampung	Bandar		Bandar
ms-MY	13	1	5	title	Cerita 2								
ms-MY	13	1	6	listeningonly	ms_my_lc_2_8_story.m4a								
ms-MY	13	1	7	fillintheblank		Katak [gembira] apabila hujan turun.	ms_my_lc_2_8_q1.m4a	text	sedih	marah			gembira
ms-MY	13	1	8	fillintheblank		Katak suka buat apa dalam hujan?	ms_my_lc_2_8_q2.m4a	text	Lompat dan main	Tidur	Makan		Lompat dan main
ms-MY	14	1	1	title	Cerita 1								
ms-MY	14	1	2	listeningonly	ms_my_lc_2_6_story.m4a								
ms-MY	14	1	3	multiplechoices		Mei ada haiwan apa?	ms_my_lc_2_6_q1.m4a	text	Burung	Lembu	Kucing		Kucing
ms-MY	14	1	4	fillintheblank		Mei beri kucing makan [setiap hari].	ms_my_lc_2_6_q3.m4a	text	kadangkala	satu kali			setiap hari
ms-MY	14	1	5	title	Cerita 2								
ms-MY	14	1	6	listeningonly	ms_my_lc_2_4_story.m4a								
ms-MY	14	1	7	multiplechoices		Petikan ini tentang apa?	ms_my_lc_2_4_q1.m4a	text	Orang	Tumbuhan	Serangga		Serangga
ms-MY	14	1	8	multiplechoices		Serangga tinggal di mana?	ms_my_lc_2_4_q3.m4a	text	Mana-mana	Laut	Hanya di pokok		Mana-mana
ms-MY	15	1	1	title	Cerita 1								
ms-MY	15	1	2	readingonly	Mei ada ayam. Ayam Mei bertelur. Mei kutip telur ayam setiap pagi.								
ms-MY	15	1	3	multiplechoices		Mei ada haiwan apa?	ms_my_rc_15_1_p3_q.m4a	text	Ayam	Itik	Lembu		Ayam
ms-MY	15	1	4	multiplechoices		Mei kutip apa setiap pagi?	ms_my_rc_15_1_p4_q.m4a	text	Telur	Sayur	Gula-gula		Telur
ms-MY	15	2	1	title	Cerita 2								
ms-MY	15	2	2	readingonly	Pokok ada yang tinggi, ada yang rendah. Pokok ada dahan dan daun.								
ms-MY	15	2	3	fillintheblank		Pokok ada yang tinggi, ada yang [rendah].	ms_my_rc_15_2_p3_q.m4a	text	sejuk	panas			rendah
ms-MY	15	2	4	multiplechoices		Petikan ini tentang apa?	ms_my_rc_15_2_p4_q.m4a	text	Pokok	Haiwan	Manusia		Pokok
ms-MY	16	1	1	title	Cerita 1								
ms-MY	16	1	2	readingonly	Lina suka masak. Lina masak dengan ibu. Mereka masak di dapur.								
ms-MY	16	1	3	fillintheblank		Lina memasak dengan [ibu].	ms_my_rc_16_1_p3_q.m4a	text	ayah	datuk			ibu
ms-MY	16	1	4	multiplechoices		Lina suka buat apa?	ms_my_rc_16_1_p4_q.m4a	text	Memasak	Membersih	Berjalan		Memasak
ms-MY	16	1	5	multiplechoices		Mereka masak di mana?	ms_my_rc_16_1_p5_q.m4a	text	Bilik	Dapur	Ruang tamu		Dapur
ms-MY	16	2	1	title	Cerita 2								
ms-MY	16	2	2	readingonly	Bapa ada lembu. Lembu makan rumput di padang. Saya berjalan dengan lembu. Saya bantu bapa jaga lembu.								
ms-MY	16	2	3	fillintheblank		Saya [jaga] lembu.	ms_my_rc_16_2_p3_q.m4a	text	bantu	mandi			jaga
ms-MY	16	2	4	multiplechoices		Lembu makan apa?	ms_my_rc_16_2_p4_q.m4a	text	Rumput	Sayur	Daging		Rumput
ms-MY	17	1	1	title	Cerita 1								
ms-MY	17	1	2	readingonly	Ming tulis cerita setiap hari. Dia tulis cerita gembira. Dia juga tulis cerita sedih. Dia baca cerita yang ditulis kepada adiknya.								
ms-MY	17	1	3	fillintheblank		Dia menulis cerita [gembira dan sedih].	ms_my_rc_17_1_p3_q.m4a	text	seram	bosan			gembira dan sedih
ms-MY	17	1	4	fillintheblank		Ming tulis cerita setiap [hari].	ms_my_rc_17_1_p4_q.m4a	text	malam	petang			hari
ms-MY	17	1	5	multiplechoices		Ming baca cerita kepada siapa?	ms_my_rc_17_1_p5_q.m4a	text	Adik	Ibu	Bapa		Adik
ms-MY	17	2	1	title	Cerita 2								
ms-MY	17	2	2	readingonly	Aini ada seorang adik lelaki. Adik Aini kecil. Adik Aini suka menangis. Adik Aini suka tidur. Aini sayang adiknya.								
ms-MY	17	2	3	fillintheblank		Aini ada seorang adik [lelaki].	ms_my_rc_17_2_p3_q.m4a	text	perempuan	baik			lelaki
ms-MY	17	2	4	multiplechoices		Aini sayang siapa?	ms_my_rc_17_2_p4_q.m4a	text	Adik	Makcik	Guru		Adik
ms-MY	18	1	1	title	Cerita 1								
ms-MY	18	1	2	readingonly	Kakak Aini seorang doktor. Umur kakak Aini tiga puluh tahun. Kakak Aini kerja di bandar. Aini suka melawat kakaknya di bandar.								
ms-MY	18	1	3	fillintheblank		Kakak Aini seorang [doktor].	ms_my_rc_18_1_p3_q.m4a	text	guru	polis			doktor
ms-MY	18	1	4	fillintheblank		Aini suka [melawat] kakaknya di bandar.	ms_my_rc_18_1_p4_q.m4a	text	menelefon	lihat			melawat
ms-MY	18	1	5	multiplechoices		Kakak Aini kerja di mana?	ms_my_rc_18_1_p5_q.m4a	text	Di bandar	Di ladang	Di laut		Di bandar
ms-MY	18	2	1	title	Cerita 2								
ms-MY	18	2	2	readingonly	Katak suka melompat. Katak melompat di jalan. Katak melompat di pokok. Katak melompat jauh. Katak melompat tinggi.								
ms-MY	18	2	3	fillintheblank		Katak melompat di [jalan].	ms_my_rc_18_2_p3_q.m4a	text	air	rumah			jalan
ms-MY	18	2	4	fillintheblank		Katak melompat jauh dan [tinggi].	ms_my_rc_18_2_p4_q.m4a	text	rendah	perlahan			tinggi
ms-MY	18	2	5	multiplechoices		Katak suka buat apa?	ms_my_rc_18_2_p5_q.m4a	text	Melompat	Berlari	Berjalan		Melompat
ms-MY	19	1	1	title	Cerita 1								
ms-MY	19	1	2	readingonly	Lina ada seekor kucing. Dia beri kucing makan. Dia jaga kucing itu. Dia suka main dengan kucingnya.								
ms-MY	19	1	3	multiplechoices		Lina ada haiwan apa?	ms_my_rc_19_1_p3_q.m4a	text	Burung	Anjing	Kucing		Kucing
ms-MY	19	1	4	multiplechoices		Lina suka buat apa?	ms_my_rc_19_1_p4_q.m4a	text	Bermain dengan kucingnya	Berlari	Memasak		Bermain dengan kucingnya
ms-MY	19	2	1	title	Cerita 2								
ms-MY	19	2	2	readingonly	Di dalam hutan ada banyak haiwan. Ada haiwan kecil dan ada haiwan besar. Ada yang tinggal di pokok dan ada yang tinggal di tanah.								
ms-MY	19	2	3	fillintheblank		Di dalam hutan ada haiwan kecil dan haiwan [besar].	ms_my_rc_19_2_p3_q.m4a	text	biru	rendah			besar
ms-MY	19	2	4	multiplechoices		Haiwan tinggal di mana?	ms_my_rc_19_2_p4_q.m4a	text	Pokok dan tanah	Tanah sahaja	Pokok sahaja		Pokok dan tanah
ms-MY	20	2	1	title	Cerita 2								
ms-MY	20	2	2	readingonly	Devi suka makan ikan. Devi bantu ibu masak ikan. Devi letak kicap. Devi dan keluarga makan ikan untuk makan malam.								
ms-MY	20	2	3	multiplechoices		Devi suka makan apa?	ms_my_rc_20_2_p3_q.m4a	text	Ikan	Nasi	Pisang		Ikan
ms-MY	20	2	4	multiplechoices		Devi makan dengan siapa?	ms_my_rc_20_2_p4_q.m4a	text	Guru	Kawan	Keluarga		Keluarga
ms-MY	21	1	1	title	Cerita 1								
