#LanguageTag	#Level	#Worksheet	#Problem	#Question	#suggest	#Answer
ms-MY	1	1	1	1, 2, 3, ?	NA	4
ms-MY	1	1	2	2, 3, 4, ?	NA	5
ms-MY	1	1	3	2, 3, ?, 5	NA	4
ms-MY	1	1	4	2, ?, 4, 5	NA	3
ms-MY	1	1	5	1, ?, 3, 4	NA	2
ms-MY	1	2	1	1, 2, ?, 4	NA	3
ms-MY	1	2	2	2, 3, 4, ?	NA	5
ms-MY	1	2	3	2, 3, ?, 5	NA	4
ms-MY	1	2	4	1, ?, 3, 4	NA	2
ms-MY	1	2	5	2, ?, 4, 5	NA	3
ms-MY	2	1	1	4, 5, 6, ?	NA	7
ms-MY	2	1	2	5, 6, ?, 8	NA	7
ms-MY	2	1	3	6, 7, 8, ?	NA	9
ms-MY	2	1	4	3, ?, 5, 6	NA	4
ms-MY	2	1	5	7, ?, 9, 10	NA	8
ms-MY	2	2	1	5, 6, 7, ?	NA	8
ms-MY	2	2	2	3, 4, ?, 6	NA	5
ms-MY	2	2	3	7, 8, ?, 10	NA	9
ms-MY	2	2	4	6, ?, 8, 9	NA	7
ms-MY	2	2	5	4, ?, 6, 7	NA	5
ms-MY	2	3	1	6, 7, 8, ?	NA	9
ms-MY	2	3	2	5, ?, 7, 8	NA	6
ms-MY	2	3	3	4, 5, ?, 7	NA	6
ms-MY	2	3	4	7, 8, ?, 10	NA	9
ms-MY	2	3	5	3, ?, 5, 6	NA	4
ms-MY	3	1	1	4, 3, 2, ?	NA	1
ms-MY	3	1	2	5, 4, 3, ?	NA	2
ms-MY	3	1	3	5, 4, ?, 2	NA	3
ms-MY	3	1	4	4, ?, 2, 1	NA	3
ms-MY	3	1	5	5, ?, 3, 2	NA	4
ms-MY	3	2	1	5, 4, 3, ?	NA	2
ms-MY	3	2	2	4, 3, ?, 1	NA	2
ms-MY	3	2	3	5, 4, ?, 2	NA	3
ms-MY	3	2	4	5, ?, 3, 2	NA	4
ms-MY	3	2	5	4, ?, 2, 1	NA	3
ms-MY	4	1	1	9, 8, 7, ?	NA	6
ms-MY	4	1	2	10, 9, 8, ?	NA	7
ms-MY	4	1	3	8, 7, ?, 5	NA	6
ms-MY	4	1	4	9, ?, 7, 6	NA	8
ms-MY	4	1	5	10, ?, 8, 7	NA	9
ms-MY	4	2	1	8, 7, 6, ?	NA	5
ms-MY	4	2	2	9, 8, ?, 6	NA	7
ms-MY	4	2	3	7, 6, 5, ?	NA	4
ms-MY	4	2	4	10, 9, ?, 7	NA	8
ms-MY	4	2	5	7, ?, 5, 4	NA	6
ms-MY	4	3	1	7, 6, 5, ?	NA	4
