#languageTag	level	stage	worksheet	multiplicand	multiplier	product
ms-MY	1	1	1	2	1	2
ms-MY	1	2	1	2	2	4
ms-MY	1	3	1	2	3	6
ms-MY	1	4	1	2	4	8
ms-MY	1	5	1	2	5	10
ms-MY	1	6	1	2	6	12
ms-MY	1	7	1	2	7	14
ms-MY	1	8	1	2	8	16
ms-MY	1	9	1	2	9	18
ms-MY	2	1	1	3	1	3
ms-MY	2	2	1	3	2	6
ms-MY	2	3	1	3	3	9
ms-MY	2	4	1	3	4	12
ms-MY	2	5	1	3	5	15
ms-MY	2	6	1	3	6	18
ms-MY	2	7	1	3	7	21
ms-MY	2	8	1	3	8	24
ms-MY	2	9	1	3	9	27
ms-MY	3	1	1	4	1	4
ms-MY	3	2	1	4	2	8
ms-MY	3	3	1	4	3	12
ms-MY	3	4	1	4	4	16
ms-MY	3	5	1	4	5	20
ms-MY	3	6	1	4	6	24
ms-MY	3	7	1	4	7	28
ms-MY	3	8	1	4	8	32
ms-MY	3	9	1	4	9	36
ms-MY	4	1	1	5	1	5
ms-MY	4	2	1	5	2	10
ms-MY	4	3	1	5	3	15
ms-MY	4	4	1	5	4	20
ms-MY	4	5	1	5	5	25
ms-MY	4	6	1	5	6	30
ms-MY	4	7	1	5	7	35
ms-MY	4	8	1	5	8	40
ms-MY	4	9	1	5	9	45
ms-MY	5	1	1	6	1	6
ms-MY	5	2	1	6	2	12
ms-MY	5	3	1	6	3	18
ms-MY	5	4	1	6	4	24
ms-MY	5	5	1	6	5	30
ms-MY	5	6	1	6	6	36
ms-MY	5	7	1	6	7	42
ms-MY	5	8	1	6	8	48
ms-MY	5	9	1	6	9	54
ms-MY	6	1	1	7	1	7
ms-MY	6	2	1	7	2	14
ms-MY	6	3	1	7	3	21
ms-MY	6	4	1	7	4	28
ms-MY	6	5	1	7	5	35
ms-MY	6	6	1	7	6	42
ms-MY	6	7	1	7	7	49
ms-MY	6	8	1	7	8	56
ms-MY	6	9	1	7	9	63
ms-MY	7	1	1	8	1	8
ms-MY	7	2	1	8	2	16
ms-MY	7	3	1	8	3	24
ms-MY	7	4	1	8	4	32
ms-MY	7	5	1	8	5	40
ms-MY	7	6	1	8	6	48
ms-MY	7	7	1	8	7	56
ms-MY	7	8	1	8	8	64
ms-MY	7	9	1	8	9	72
ms-MY	8	1	1	9	1	9
ms-MY	8	2	1	9	2	18
ms-MY	8	3	1	9	3	27
ms-MY	8	4	1	9	4	36
ms-MY	8	5	1	9	5	45
ms-MY	8	6	1	9	6	54
ms-MY	8	7	1	9	7	63
ms-MY	8	8	1	9	8	72
ms-MY	8	9	1	9	9	81
ms-MY	9	1	1	3	4	12
ms-MY	9	2	1	4	3	12
ms-MY	9	3	1	7	5	35
ms-MY	9	4	1	5	7	35
ms-MY	9	5	1	8	2	16
ms-MY	9	6	1	2	8	16
ms-MY	9	1	2	6	4	24
ms-MY	9	2	2	4	6	24
ms-MY	9	3	2	9	3	27
ms-MY	9	4	2	3	9	27
ms-MY	9	5	2	5	4	20
ms-MY	9	6	2	4	5	20
ms-MY	9	1	3	4	8	32
ms-MY	9	2	3	8	4	32
ms-MY	9	3	3	3	6	18
ms-MY	9	4	3	6	3	18
ms-MY	9	5	3	7	2	14
ms-MY	9	6	3	2	7	14
ms-MY	9	1	4	6	5	30
ms-MY	9	2	4	5	6	30
ms-MY	9	3	4	4	2	8
ms-MY	9	4	4	2	4	8
ms-MY	9	5	4	8	3	24
ms-MY	9	6	4	3	8	24
