		#문제시트 번호		#문제로 내는 수	#시작 시 물탱크 내 물방울 수
#languageTag	level	worksheet	problem	objectNo	suggestNo
ms-MY	1	1	1	100	0
ms-MY	1	1	2	0	100
ms-MY	1	1	3	10	0
ms-MY	1	1	4	0	10
ms-MY	1	1	5	1	0
ms-MY	1	1	6	0	1
ms-MY	2	1	1	14	0
ms-MY	2	1	2	15	0
ms-MY	2	1	3	13	0
ms-MY	2	1	4	17	0
ms-MY	2	1	5	12	0
ms-MY	2	2	1	13	0
ms-MY	2	2	2	16	0
ms-MY	2	2	3	12	0
ms-MY	2	2	4	18	0
ms-MY	2	2	5	11	0
ms-MY	2	3	1	16	0
ms-MY	2	3	2	12	0
ms-MY	2	3	3	19	0
ms-MY	2	3	4	15	0
ms-MY	2	3	5	13	0
ms-MY	3	1	1	30	0
ms-MY	3	1	2	50	0
ms-MY	3	1	3	20	0
ms-MY	3	1	4	70	0
ms-MY	3	1	5	60	0
ms-MY	3	2	1	40	0
ms-MY	3	2	2	70	0
ms-MY	3	2	3	10	0
ms-MY	3	2	4	80	0
ms-MY	3	2	5	30	0
ms-MY	3	3	1	50	0
ms-MY	3	3	2	20	0
ms-MY	3	3	3	90	0
ms-MY	3	3	4	60	0
ms-MY	3	3	5	40	0
ms-MY	3	1	1	24	0
ms-MY	3	1	2	35	0
ms-MY	3	1	3	47	0
ms-MY	3	1	4	62	0
ms-MY	3	1	5	74	0
ms-MY	4	2	1	26	0
ms-MY	4	2	2	37	0
ms-MY	4	2	3	53	0
ms-MY	4	2	4	72	0
ms-MY	4	2	5	84	0
ms-MY	4	3	1	28	0
ms-MY	4	3	2	46	0
ms-MY	4	3	3	55	0
ms-MY	4	3	4	83	0
ms-MY	4	3	5	91	0
ms-MY	4	4	1	25	0
ms-MY	4	4	2	48	0
ms-MY	4	4	3	63	0
ms-MY	4	4	4	74	0
ms-MY	4	4	5	92	0
ms-MY	5	1	1	35	25
ms-MY	5	1	2	47	37
ms-MY	5	1	3	53	43
ms-MY	5	1	4	64	54
ms-MY	5	1	5	88	78
ms-MY	5	2	1	27	17
ms-MY	5	2	2	43	33
ms-MY	5	2	3	54	44
ms-MY	5	2	4	72	62
ms-MY	5	2	5	95	85
ms-MY	5	3	1	38	28
ms-MY	5	3	2	47	37
ms-MY	5	3	3	65	55
ms-MY	5	3	4	82	72
ms-MY	5	3	5	94	84
ms-MY	6	1	1	25	35
ms-MY	6	1	2	38	48
ms-MY	6	1	3	52	62
ms-MY	6	1	4	68	78
ms-MY	6	1	5	74	84
ms-MY	6	2	1	12	22
ms-MY	6	2	2	38	48
ms-MY	6	2	3	43	53
ms-MY	6	2	4	74	84
ms-MY	6	2	5	83	93
ms-MY	6	3	1	28	38
ms-MY	6	3	2	43	53
ms-MY	6	3	3	57	67
ms-MY	6	3	4	72	82
ms-MY	6	3	5	85	95
ms-MY	7	1	1	116	0
ms-MY	7	1	2	108	0
ms-MY	7	1	3	112	0
ms-MY	7	1	4	117	0
ms-MY	7	1	5	103	0
ms-MY	7	2	1	113	0
ms-MY	7	2	2	106	0
ms-MY	7	2	3	119	0
ms-MY	7	2	4	115	0
ms-MY	7	2	5	104	0
ms-MY	7	3	1	114	0
ms-MY	7	3	2	107	0
ms-MY	7	3	3	118	0
ms-MY	7	3	4	113	0
ms-MY	7	3	5	105	0
ms-MY	8	1	1	70	30
ms-MY	8	1	2	80	50
ms-MY	8	1	3	60	20
ms-MY	8	1	4	80	40
ms-MY	8	1	5	80	70
ms-MY	8	2	1	60	40
ms-MY	8	2	2	80	50
ms-MY	8	2	3	50	30
ms-MY	8	2	4	70	60
ms-MY	8	2	5	90	80
ms-MY	8	3	1	70	20
ms-MY	8	3	2	90	60
ms-MY	8	3	3	70	50
ms-MY	8	3	4	60	40
ms-MY	8	3	5	80	70
ms-MY	9	1	1	40	60
ms-MY	9	1	2	30	70
ms-MY	9	1	3	40	90
ms-MY	9	1	4	20	50
ms-MY	9	1	5	10	40
ms-MY	9	2	1	50	80
ms-MY	9	2	2	30	50
ms-MY	9	2	3	50	60
ms-MY	9	2	4	40	70
ms-MY	9	2	5	10	30
ms-MY	9	3	1	20	70
ms-MY	9	3	2	40	50
ms-MY	9	3	3	30	60
ms-MY	9	3	4	50	90
ms-MY	9	3	5	20	40
ms-MY	10	1	1	64	60
ms-MY	10	1	2	36	6
ms-MY	10	1	3	73	43
ms-MY	10	1	4	29	26
ms-MY	10	1	5	74	52
ms-MY	10	2	1	45	40
ms-MY	10	2	2	27	7
ms-MY	10	2	3	63	23
ms-MY	10	2	4	39	34
ms-MY	10	2	5	77	41
ms-MY	10	3	1	57	50
ms-MY	10	3	2	48	8
ms-MY	10	3	3	56	36
ms-MY	10	3	4	68	63
ms-MY	10	3	5	68	23
ms-MY	11	1	1	17	8
ms-MY	11	1	2	13	9
ms-MY	11	1	3	12	4
ms-MY	11	1	4	12	3
