#LanguageTag	Level	Worksheet	ProblemNo	Problem	SentenceSound	UpperCase
ms-MY	1	1	1	Ini b[a]s.	inibas.m4a	n
ms-MY	1	1	2	Ini b[a]s kuning.	inibaskuning.m4a	n
ms-MY	1	1	3	B[a]s ini kuning.	basinikuning.m4a	n
ms-MY	1	2	1	Ini k[u]c[i]ng.	inikucing.m4a	n
ms-MY	1	2	2	Kucing ini h[i]t[a]m.	kucinginihitam.m4a	n
ms-MY	1	2	3	Ini se[e]k[o]r kucing.	iniseekorkucing.m4a	n
ms-MY	2	1	1	Ini b[u]k[u] biru.	inibukubiru.m4a	n
ms-MY	2	1	2	Buah [e]pal ini merah.	buahepalinimerah.m4a	n
ms-MY	2	1	3	[A]li suka makan roti.	alisukamakanroti.m4a	y
ms-MY	2	2	1	[I]ni cawan kaca.	inicawankaca.m4a	y
ms-MY	2	2	2	Baju ini [b]iru.	bajuinibiru.m4a	n
ms-MY	2	2	3	Cuaca hari ini [p]anas.	cuacahariinipanas.m4a	n
ms-MY	3	1	1	Adik [s]uka makan nasi.	adiksukamakannasi.m4a	n
ms-MY	3	1	2	Kakak su[k]a berenang.	kakaksukaberenang.m4a	n
ms-MY	3	1	3	Bu[r]ung helang terbang tinggi.	burunghelangterbangtinggi.m4a	n
ms-MY	3	2	1	Amir ber[m]ain bola.	amirbermainbola.m4a	n
ms-MY	3	2	2	Siti ber[j]alan kaki.	sitiberjalankaki.m4a	n
ms-MY	3	2	3	Pokok itu sangat besa[r].	pokokitusangatbesar.m4a	n
ms-MY	4	1	1	Na[m]a saya Aini.	namasayaaini.m4a	n
ms-MY	4	1	2	Ini sebiji te[l]ur.	inisebijitelur.m4a	n
ms-MY	4	1	3	Cuaca [h]ari ini cera[h].	cuacahariinicerah.m4a	n
ms-MY	4	2	1	Ini see[k]or [s]inga.	iniseekorsinga.m4a	n
ms-MY	4	2	2	Ini seekor se[m]u[t].	iniseekorsemut.m4a	n
ms-MY	4	2	3	Sa[y]a kenal bu[d]ak itu.	sayakenalbudakitu.m4a	n
ms-MY	5	1	1	Kakak sangat [g]em[b]ira.	kakaksangatgembira.m4a	n
ms-MY	5	1	2	Sani suka@[m]e[m]baca buku.	sanisukamembacabuku.m4a	n
ms-MY	5	1	3	Kami berlari@dengan [p]a[n]tas.	kamiberlaridenganpantas.m4a	n
ms-MY	5	2	1	Na[m]a sa[y]a Ravi.	namasayaravi.m4a	n
ms-MY	5	2	2	A[b]ang saya sangat [t]inggi.	abangsayasangattinggi.m4a	n
ms-MY	5	2	3	Lina de[m]a[m].	linademam.m4a	n
ms-MY	6	1	1	Ini [b]a[p]a sa[y]a.	inibapasaya.m4a	n
ms-MY	6	1	2	Ini seekor [k]a[t]a[k].	iniseekorkatak.m4a	n
ms-MY	6	1	3	Ini [k]a[m][b]ing datuk.	inikambingdatuk.m4a	n
ms-MY	6	2	1	[P]okok itu [t]ing[g]i.	pokokitutinggi.m4a	y
ms-MY	6	2	2	Ini see[k]or i[t]i[k].	iniseekoritik.m4a	n
ms-MY	6	2	3	Siti berasa [l]a[p]ar.	sitiberasalapar.m4a	n
ms-MY	7	1	1	Ini ba[j]u ba[h]aru sa[y]a.	inibajubaharusaya.m4a	n
ms-MY	7	1	2	Ru[m]a[h] itu u[s]ang.	rumahituusang.m4a	n
ms-MY	7	1	3	Ini se[b]i[j]i buah o[r]en.	inisebijibuahoren.m4a	n
ms-MY	7	2	1	Saya a[d]a see[k]or ku[c]ing.	sayaadaseekorkucing.m4a	n
ms-MY	7	2	2	Lo[ri] itu besar.	loriitubesar.m4a	n
ms-MY	7	2	3	Tikus itu [ke]cil.	tikusitukecil.m4a	n
ms-MY	8	1	1	Adik suka bermain [bo]la.	adiksukabermainbola.m4a	n
ms-MY	8	1	2	I[bu] sangat gembira.	ibusangatgembira.m4a	y
ms-MY	8	1	3	Me[na]ra itu tinggi.	menaraitutinggi.m4a	n
ms-MY	8	2	1	Itu seekor singa be[ti]na.	ituseekorsingabetina.m4a	n
ms-MY	8	2	2	Kami ber[la]ri@dengan perlahan.	kamiberlaridenganperlahan.m4a	n
ms-MY	8	2	3	Na[ma] saya Aini.	namasayaaini.m4a	n
ms-MY	9	1	1	Ini beg [sa]ya.	inibegsaya.m4a	n
ms-MY	9	1	2	Kucing ini berbulu [te]bal.	kucinginiberbulutebal.m4a	n
ms-MY	9	1	3	Siti suka ma[kan] kek.	sitisukamakankek.m4a	n
ms-MY	9	2	1	Nama ka[kak] saya Siti.	namakakaksayasiti.m4a	n
ms-MY	9	2	2	Ini buku me[rah].	inibukumerah.m4a	n
ms-MY	9	2	3	Saya suka berka[wan]@dengan Amir.	sayasukaberkawandenganamir.m4a	n
ms-MY	10	1	1	Datuk mi[num] jus oren.	datukminumjusoren.m4a	n
ms-MY	10	1	2	Hao berenang@di ko[lam].	haoberenangdikolam.m4a	n
ms-MY	10	1	3	Burung itu terbang [ren]dah.	burungituterbangrendah.m4a	n
ms-MY	10	2	1	Abang bermain bola se[pak].	abangbermainbolasepak.m4a	n
ms-MY	10	2	2	Kakak berja[lan] kaki.	kakakberjalankaki.m4a	n
ms-MY	10	2	3	Ba[dak] itu besar.	badakitubesar.m4a	n
ms-MY	11	1	1	Ini seekor [gajah].	iniseekorgajah.m4a	n
ms-MY	11	1	2	Ali ialah abang [saya].	aliialahabangsaya.m4a	n
ms-MY	11	1	3	Ini bunga [matahari].	inibungamatahari.m4a	n
ms-MY	11	2	1	[Kereta] ini laju.	keretainilaju.m4a	y
ms-MY	11	2	2	Layang-layang [terbang] tinggi.	layang-layangterbangtinggi.m4a	n
ms-MY	11	2	3	Ini kucing [Kavita].	inikucingkavita.m4a	n
ms-MY	12	1	1	Nama [adik] saya Amir.	namaadiksayaamir.m4a	n
ms-MY	12	1	2	Kami [pergi] ke Melaka.	kamipergikemelaka.m4a	n
ms-MY	12	1	3	Kami [rakyat] Malaysia.	kamirakyatmalaysia.m4a	n
ms-MY	12	2	1	Ali [rajin] belajar.	alirajinbelajar.m4a	n
ms-MY	12	2	2	Kumar ialah [kawan] baik saya.	kumarialahkawanbaiksaya.m4a	n
ms-MY	12	2	3	Hao cuci [basikal].	haocucibasikal.m4a	n
ms-MY	13	1	1	Umur Lina [tujuh] tahun.	umurlinatujuhtahun.m4a	n
ms-MY	13	1	2	Mereka ada dua biji buah [mangga].	merekaadaduabijibuahmangga.m4a	n
ms-MY	13	1	3	Ibu saya suka warna [kuning].	ibusayasukawarnakuning.m4a	n
ms-MY	13	2	1	Mei ada [tiga] orang abang.	meiadatigaorangabang.m4a	n
ms-MY	13	2	2	Kakak saya [cantik].	kakaksayacantik.m4a	n
ms-MY	13	2	3	Mei bercita-cita@menjadi [doktor].	meibercitacitamenjadidoktor.m4a	n
ms-MY	14	1	1	Kucing itu@di atas [kotak].	kucingitudiataskotak.m4a	n
