#language	level	problem	solution	wrong words	image	sound
ms-MY	1	1	Ini/bas		bas.png	inibas.m4a
ms-MY	1	2	Ini/kucing		kucing.png	inikucing.m4a
ms-MY	1	3	Ini/buku/biru		bukubiru.png	inibukubiru.m4a
ms-MY	1	4	Ini/cawan/kaca		cawankaca.png	inicawankaca.m4a
ms-MY	1	5	Ini/sebiji/telur		telur.png	inisebijitelur.m4a
ms-MY	1	6	Ini/sebiji/oren		oren.png	inisebijioren.m4a
ms-MY	1	7	Nama/saya/Aini		aini.png	namasayaaini.m4a
ms-MY	1	8	Nama/saya/Lina		lina.png	namasayalinа.m4a
ms-MY	1	9	Bas/ini/kuning		baskuning.png	basinikuning.m4a
ms-MY	1	10	Baju/ini/biru		bajubiru.png	bajuinibiru.m4a
ms-MY	2	1	Epal/ini/merah		epalmerah.png	epalinimerah.m4a
ms-MY	2	2	Kucing/ini/hitam		kucinghitam.png	kucinginihitam.m4a
ms-MY	2	3	Tali/ini/pendek		talipendek.png	taliinipendek.m4a
ms-MY	2	4	Rumah/itu/besar		rumahbesar.png	rumahitubesar.m4a
ms-MY	2	5	Lori/itu/besar		loribesar.png	loriitubesar.m4a
ms-MY	2	6	Tikus/itu/kecil		tikuskecil.png	tikusitukecil.m4a
ms-MY	2	7	Menara/itu/tinggi		menaratinggi.png	menaraitutinggi.m4a
ms-MY	2	8	Lampu/itu/rosak		lampurosak.png	lampuiturosak.m4a
ms-MY	2	9	Periuk/itu/panas		periukpanas.png	periukitupanas.m4a
ms-MY	2	10	Pokok/itu/tinggi		pokoktinggi.png	pokokitutinggi.m4a
ms-MY	3	1	Ini/seekor/singa		singa.png	iniseekorsinga.m4a
ms-MY	3	2	Ini/seekor/semut		semut.png	iniseekorsemut.m4a
ms-MY	3	3	Ini/seekor/katak		katak.png	iniseekorkatak.m4a
ms-MY	3	4	Ini/seekor/itik		itik.png	iniseekoritik.m4a
ms-MY	3	5	Ini/seekor/gajah		gajah.png	iniseekorgajah.m4a
ms-MY	3	6	Ini/bunga/matahari		bungamatahari.png	inibungamatahari.m4a
ms-MY	3	7	Ini/semut/merah	hitam	semutmerah.png	inisemutmerah.m4a
ms-MY	3	8	Siti/sangat/lapar		sitilapar.png	sitisangatlapar.m4a
ms-MY	3	9	Amir/demam		amirdemam.png	amirdemam.m4a
ms-MY	3	10	Sekolah/Aini/besar		sekolahbesar.png	sekolahainibesar.m4a
ms-MY	4	1	Kami/rakyat/Malaysia		rakyatmalaysia.png	kamirakyatmalaysia.m4a
ms-MY	4	2	Kami/berlari/pantas		budakberlaripantas.png	kamiberlaripantas.m4a
ms-MY	4	3	Ali/baik/hati		alibaikhati.png	alibaikhati.m4a
ms-MY	4	4	Adik/suka/makan/nasi		makannasi.png	adiksukamakannasi.m4a
ms-MY	4	5	Kumar/suka/makan/roti	nasi	makanroti.png	kumarsukamakanroti.m4a
ms-MY	4	6	Kakak/suka/berenang		budakberenang.png	kakaksukaberenang.m4a
ms-MY	4	7	Amir/bermain/bola		budakbermainbola.png	amirbermainbola.m4a
ms-MY	4	8	Siti/suka/makan/kek		makankek.png	sitisukamakankek.m4a
ms-MY	4	9	Devi/suka/menyanyi		menyanyi.png	devisukamenyanyi.m4a
ms-MY	4	10	Adik/suka/menari		menari.png	adiksukamenari.m4a
ms-MY	5	1	Ini/beg/saya		beg.png	inibegsaya.m4a
ms-MY	5	2	Ini/bapa/saya	ibu	bapa.png	inibapasaya.m4a
ms-MY	5	3	Ini/nenek/Amir	datuk	neneksamad.png	inineneksamad.m4a
ms-MY	5	4	Ini/kucing/Kavita		kucingkavita.png	inikucingkavita.m4a
ms-MY	5	5	Nama/kakak saya/Siti		siti.png	namakakaksayasiti.m4a
ms-MY	5	6	Nama/adik saya/Amir		amir.png	namaadiksayaamir.m4a
ms-MY	5	7	Ini/baju baharu/saya		bajubaharu.png	inibajubaharusaya.m4a
ms-MY	5	8	Adik/suka/bermain/bola		bermainbola.png	adiksukabermainbola.m4a
ms-MY	5	9	Ali/rajin/belajar		budakrajinbelajar.png	ahmadrajinbelajar.m4a
ms-MY	5	10	Kakak/berjalan/kaki		berjalankaki.png	kakakberjalankaki.m4a
ms-MY	6	1	Kakak/saya/cantik		kakakcantik.png	kakaksayacantik.m4a
ms-MY	6	2	Abang/saya/sangat/tinggi	Kakak	abangsangattinggi.png	abangsayasangattinggi.m4a
ms-MY	6	3	Ibu/sangat/gembira		ibugembira.png	ibusangatgembira.m4a
ms-MY	6	4	Ali/abang/saya	adik	abangkeluarga.png	aliialahabangsaya.m4a
ms-MY	6	5	Ming/abang/saya		ming.png	mingialahabangsaya.m4a
ms-MY	6	6	Hao/kawan/baik/saya		kawanbaik.png	haoialahkawanbaiksaya.m4a
ms-MY	6	7	Mimi/seorang/guru		guru.png	mimiseorangguru.m4a
ms-MY	6	8	Umur/Lina/tujuh/tahun		linatujuhtahun.png	umurlinatujuhtahun.m4a
ms-MY	6	9	Kami/pergi/ke/Melaka		pergimelaka.png	kamipergikemelaka.m4a
ms-MY	6	10	Kami/berjalan/ke/sekolah		berjalankesekolah.png	kamiberjalankesekolah.m4a
ms-MY	7	1	Saya/kenal/budak/itu		budak.png	sayakenalbudakitu.m4a
ms-MY	7	2	Saya/pandai/mewarna	melukis	mewarna.png	sayapandaimewarna.m4a
ms-MY	7	3	Saya/ada/sebatang/pensel	pen	pensel.png	sayaadasebatangpensel.m4a
ms-MY	7	4	Saya/ada/seekor/kucing		kucingpeliharaan.png	sayaadaseekorkucing.m4a
ms-MY	7	5	Saya/ada/ramai/kawan		ramikawan.png	sayaadaramikawan.m4a
ms-MY	7	6	Mereka/suka/makan/sayur		makansayur.png	merekasukamakansayur.m4a
ms-MY	7	7	Mereka/ada/dua/biji/mangga		duamangga.png	merekaadaduabijimangga.m4a
ms-MY	7	8	Mei/ada/tiga/orang/abang		tigaabang.png	meiadatigaorangabang.m4a
ms-MY	7	9	Ravi/ada/sebuah/van	kereta	van.png	raviadasebuahvan.m4a
ms-MY	7	10	Bayi/suka/minum/susu		bayiminumsusu.png	bayisukaminumsusu.m4a
ms-MY	8	1	Ming/berenang/di/kolam		berenangkolam.png	mingberenangdikolam.m4a
ms-MY	8	2	Ming/cuci/basikal	kasut	cucibasikal.png	mingcucibasikal.m4a
ms-MY	8	3	Ravi/sangat/gembira		ravigembira.png	ravisangatgembira.m4a
ms-MY	8	4	Tupai/melompat/tinggi	berlari	tupaimelompat.png	tupaimelompattinggi.m4a
ms-MY	8	5	Helang/terbang/tinggi	renang	helangterbang.png	helangterbangtinggi.m4a
ms-MY	8	6	Burung/itu/terbang/rendah		burungterbangrendah.png	burungituterbangrendah.m4a
ms-MY	8	7	Layang-layang/terbang/tinggi		layanglayangterbang.png	layanglayangterbangtinggi.m4a
ms-MY	8	8	Pokok limau/tumbuh/subur		pokoklimau.png	pokoklimautumbuhsubur.m4a
ms-MY	8	9	Kucing/ini/berbulu/tebal	putih	kucingberbulutebal.png	kucinginiberbulutebal.m4a
ms-MY	8	10	Kumbang/ini/berwarna/hitam		kumbanghitam.png	kumbanginiberwarnahitam.m4a
ms-MY	9	1	Cincin emas/itu/mahal	murah	cincinemas.png	cincinemasitumahal.m4a
ms-MY	9	2	Kolam/itu/banyak/katak	ikan	kolamkatak.png	kolamitubanyakkatak.m4a
ms-MY	9	3	Pokok/itu/sangat/besar	kecil	pokokbesar.png	pokokitusembesar.m4a
ms-MY	9	4	Rak/kasut/itu/besar	kecil	rakkasutbesar.png	rakkasutitubesar.m4a
ms-MY	9	5	Buku/latihan/itu/nipis	tebal	bukulatihannipis.png	bukulatihanitunipis.m4a
ms-MY	9	6	Pintu/rumah/ini/rosak		pinturumahrosak.png	pinturumahinirosak.m4a
ms-MY	9	7	Budak/itu/bermain/di/padang		budakbermainpadang.png	budakitubermaindipadang.m4a
ms-MY	9	8	Siti/pergi/ke/kedai		sitikedai.png	sitipergikedai.m4a
ms-MY	9	9	Amir/suka/membaca/buku		membacabuku.png	amirsukamembacabuku.m4a
ms-MY	9	10	Abang/bermain/bola sepak		bolasepak.png	abangbermainbolasepak.m4a
ms-MY	10	1	Kucing/itu/di/atas/kotak	bawah	kucingataskotak.png	kucingitudiatas kotak.m4a
ms-MY	10	2	Kera/itu/di/atas/pokok	bawah	keradiataspokok.png	keraitudiataspokok.m4a
ms-MY	10	3	Beg/itu/di/atas/kerusi	bawah	begataskerusi.png	begitudiataskerusi.m4a
ms-MY	10	4	Kasut/itu/di/bawah/meja	atas	kasutbawahmeja.png	kasutitubawahmeja.m4a
ms-MY	10	5	Kambing/itu/di/dalam/kandang	luar	kambingkandang.png	kambingitudidalamkandang.m4a
ms-MY	10	6	Cicak/itu/di/dinding	lantai	cicakdinding.png	cicakitudidinding.m4a
ms-MY	10	7	Sampan/itu/di/tepi/sungai		sampansungai.png	sampanituditepisungai.m4a
ms-MY	10	8	Katil/itu/di/tepi/tingkap		katiltingkap.png	katilituditepitingkap.m4a
ms-MY	10	9	Burung/rehat/di/atas/pokok		burungrehatpokok.png	burungrehatdiataspokok.m4a
ms-MY	10	10	Katak/lompat/ke/dalam/kolam		kataklompatkolam.png	kataklompatkedalamkolam.m4a
ms-MY	11	1	Ikan/berenang/di/dalam/kolam	lompat	ikanberenangkolam.png	ikanberenangdidalamkolam.m4a
ms-MY	11	2	Ming/tanam/petola/di/kebun	siram	petolakebun.png	mingtanampetoladikebun.m4a
ms-MY	11	3	Mei/berkelah/di/tepi/pantai	berehat	berkelahpantai.png	meiberkelahditepipantai.m4a
ms-MY	11	4	Aini/baring/di/bilik/tidur	duduk	baringbilik.png	ainibaringdibiliktidur.m4a
ms-MY	11	5	Adik/siram/pokok bunga	tanam	sirampokokbunga.png	adiksirampokokbunga.m4a
ms-MY	11	6	Kucing/tidur/di/atas/sofa	duduk	kucingtidursofa.png	kucingtidurdiatassofa.m4a
ms-MY	11	7	Helang/terbang/di/langit	lompat	helanglangit.png	helangterbangdilangit.m4a
ms-MY	11	8	Tupai/panjat/pokok	lompat	tupaipanjatpokok.png	tupaipanjatpokok.m4a
ms-MY	11	9	Murid/berbaris/di depan/kelas		muridberbaris.png	muridberbarisdidepankelas.m4a
ms-MY	11	10	Adik/lukis/gambar/kucing		lukiskucing.png	adiklukisgambarkucing.m4a
ms-MY	12	1	Adik/belajar/bermain/biola	menyanyi	bermainbiola.png	adikbelajarbermainbiola.m4a
ms-MY	12	2	Ayah/sedang/cuci/longkang	bersih	cucilongkang.png	ayahsedangcucilongkang.m4a
ms-MY	12	3	Ming/siram/pokok/keladi	tanam	sirampokokkeladi.png	mingsirampokokkeladi.m4a
ms-MY	12	4	Ravi/tolak/basikal	tarik	tolakbasikal.png	ravitolakbasikal.m4a
ms-MY	12	5	Mei/kemas/bilik tidur	susun	kemasbilik.png	meikemasbiliktidur.m4a
ms-MY	12	6	Lina/basuh/pinggan mangkuk	lap	basuhpinggan.png	linabasuhpingganmangkuk.m4a
ms-MY	12	7	Abang/angkat/kotak besar	tolak	angkatkotakbesar.png	abangangkatkotakbesar.m4a
ms-MY	12	8	Kakak/jahit/baju	gunting	jahitbaju.png	kakakjahitbaju.m4a
ms-MY	12	9	Ayah/tutup/pintu/rumah	buka	tutuppinturumah.png	ayahtutuppinturumah.m4a
ms-MY	12	10	Ibu/potong/buah/tembikai	durian	potongtembikai.png	ibupotongbuatem tembikai.m4a
ms-MY	13	1	Ayah/beli/dua biji/buah/tembikai	jual	duabijitembikai.png	ayahbeliduabijibuah tembikai.m4a
ms-MY	13	2	Saya/suka/berkawan/dengan/Amir	bermain	berkawanamir.png	sayasukaberkawandenganamir.m4a
ms-MY	13	3	Meja/kayu/itu/sudah/rosak	pecah	mejakayurosak.png	mejakayuitusudahrosak.m4a
ms-MY	13	4	Di/mana/rumah/Devi?	siapa	rumahdevi.png	dimanarumahdevi.m4a
ms-MY	13	5	Kamu/tinggal/di/mana?	bila	tinggalrumah.png	kamutinggaldimana.m4a
ms-MY	13	6	Pukul/berapa/kamu/tidur?	siapa	tidurmalam.png	pukulberapakamutidur.m4a
ms-MY	13	7	Siapa/kawan/baik/Amir?	Apa	kawanamir.png	siapakawanbaikamir.m4a
ms-MY	13	8	Bila/hari/jadi/kamu?	Berapa	harijadi.png	bilaharijadikamu.m4a
ms-MY	13	9	Di mana/kucing itu/sembunyi?	Siapa	kucingsembunyi.png	dimanakucingitusembunyi.m4a
ms-MY	13	10	Siapa/nama/adik/kamu?	Apa	namaadik.png	siapanamaadikkamu.m4a
ms-MY	14	1	Apa/warna/baju/ini?	Siapa	warnabaju.png	apawarnabajuini.m4a
ms-MY	14	2	Ini/khemah/siapa?	apa	khemah.png	inikhemahs iapa.m4a
ms-MY	14	3	Di/mana/kunci/itu?	Siapa	kunci.png	dimanakunciitu.m4a
ms-MY	14	4	Ali/suka/makan/buah/apa?	siapa	buah.png	alisukamakanbuahapa.m4a
ms-MY	14	5	Haiwan/apa/makan/buah/pisang?	siapa	pisang.png	haiwanapamakanbuahpisang.m4a
ms-MY	14	6	Adik/seorang/pemalu	berani	adikpemalu.png	adikseorangpemalu.m4a
ms-MY	14	7	Ibu saya/suka/warna/kuning	hijau	warnakuning.png	ibusayasukawarnakuning.m4a
ms-MY	14	8	Kucing/itu/di atas/sofa	bawah	kucingsofa.png	kucingitudiatassofa.m4a
ms-MY	14	9	Ikan/berenang/di/sungai	kolam	ikansungai.png	ikanberenangdisungai.m4a
ms-MY	14	10	Bunga/itu/berwarna/kuning	putih	bungakuning.png	bungaituberwarnakuning.m4a
ms-MY	15	1	Berapa/umur/kamu/tahun/ini?	hari	umurtujuh.png	berapaumurkamutahunini.m4a
ms-MY	15	2	Datuk/minum/jus/oren	epal	jusoren.png	datukminumjusoren.m4a
ms-MY	15	3	Gunung/itu/sangat/tinggi	kecil	gunungtinggi.png	gunungitusangattinggi.m4a
ms-MY	15	4	Kolam/itu/banyak/ikan	itik	kolamikan.png	kolamitubanyakikan.m4a
ms-MY	15	5	Rak/buku/itu/tinggi	kecil	rakbukutinggi.png	rakbukuitutinggi.m4a
ms-MY	15	6	Buku/cerita/itu/tebal	nipis	bukuceritatebal.png	bukuceritaitutebal.m4a
ms-MY	15	7	Tingkap/rumah/ini/pecah	tutup	tingkappecah.png	tingkaprumahinip ecah.m4a
ms-MY	15	8	Budak/itu/berlari/di/padang	taman	budakberlaripadang.png	budakituberlaridipadang.m4a
ms-MY	15	9	Kami/pergi/ke/pantai	hutan	pergipantai.png	kamipergikepantai.m4a
ms-MY	15	10	Saya/nampak/budak/itu	kawan	nampakbudak.png	sayanampakbudakitu.m4a
