#Level	#ProblemCount	#Problem	#Answer	#Word1	#Word2	#Word3
1	5	1	s	s		
1	5	2	m	m		
1	5	3	n	n		
1	5	4	t	t		
1	5	5	p	p		
2	5	1	d	d		
2	5	2	b	b		
2	5	3	k	k		
2	5	4	r	r		
2	5	5	c	c		
3	5	1	g	g		
3	5	2	h	h		
3	5	3	l	l		
3	5	4	j	j		
3	5	5	f	f		
4	6	1	q	q		
4	6	2	v	v		
4	6	3	x	x		
4	6	4	y	y		
4	6	5	z	z		
4	6	6	w	w		
5	6	1	u	u		
5	6	2	i	i		
5	6	3	a	a		
5	6	4	o	o		
5	6	5	e	e		
5	6	6	e2	e2		
6	5	1	ba	b	a	
6	5	2	ca	c	a	
6	5	3	da	d	a	
6	5	4	fa	f	a	
6	5	5	ga	g	a	
6	5	6	ha	h	a	
6	5	7	ja	j	a	
6	5	8	la	l	a	
6	5	9	ma	m	a	
6	5	10	pa	p	a	
6	5	11	ra	r	a	
6	5	12	sa	s	a	
6	5	13	ta	t	a	
6	5	14	va	v	a	
6	5	15	ya	y	a	
7	5	1	fe	f	e	
7	5	2	ge	g	e	
7	5	3	je	j	e	
7	5	4	le	l	e	
7	5	5	ne	n	e	
7	5	6	pe	p	e	
7	5	7	se	s	e	
7	5	8	ve	v	e	
7	5	9	ye	y	e	
8	4	1	bi	b	i	
8	4	2	fi	f	i	
8	4	3	li	l	i	
8	4	4	zi	z	i	
9	5	1	bo	b	o	
9	5	2	jo	j	o	
9	5	3	po	p	o	
9	5	4	co	c	o	
9	5	5	mo	m	o	
9	5	6	lo	l	o	
9	5	7	so	s	o	
10	5	1	bu	b	u	
10	5	2	du	d	u	
10	5	3	gu	g	u	
10	5	4	hu	h	u	
10	5	5	ju	j	u	
10	5	6	cu	c	u	
10	5	7	mu	m	u	
10	5	8	pu	p	u	
10	5	9	ru	r	u	
11	5	1	bas	b	a	s
11	5	2	jam	j	a	m
11	5	3	gas	g	a	s
11	5	4	cat	c	a	t
11	5	5	van	v	a	n
11	5	6	beg	b	e	g
11	5	7	bek	b	e	k
11	5	8	cek	c	e	k
11	5	9	sen	s	e	n
11	5	10	lem	l	e	m
11	5	11	zip	z	i	p
11	5	12	tin	t	i	n
11	5	13	pin	p	i	n
11	5	14	bin	b	i	n
11	5	15	pit	p	i	t
11	5	16	bom	b	o	m
11	5	17	pos	p	o	s
11	5	18	kos	k	o	s
11	5	19	roh	r	o	h
11	5	20	ton	t	o	n
11	5	21	bus	b	u	s
11	5	22	sup	s	u	p
11	5	23	jus	j	u	s
11	5	24	lum	l	u	m
11	5	25	pun	p	u	n
12	4	1	kha	k	h	a
12	4	2	nya	n	y	a
12	4	3	sya	s	y	a
12	4	4	nga	n	g	a
13	4	1	skru	skru		
13	4	2	glob	glob		
13	4	3	dram	dram		
13	4	4	klip	klip		
14	5	1	khemah	khe	mah	
14	5	2	tanya	ta	nya	
14	5	3	syampu	syam	pu	
14	5	4	syiling	syi	ling	
14	5	5	wangi	wa	ngi	
14	5	6	bunga	bu	nga	
14	5	7	nyala	nya	la	
15	5	1	biola	bio	la	
15	5	2	piano	pia	no	
15	5	3	tupai	tu	pai	
15	5	4	rambai	ram	bai	
15	5	5	petai	pe	tai	
16	4	1	skuter	sku	ter	
16	4	2	traktor	trak	tor	
16	4	3	treler	tre	ler	
16	4	4	troli	tro	li	
17	5	1	ungu	u	ngu	
17	5	2	ngeri	nge	ri	
17	5	3	nyiru	nyi	ru	
17	5	4	pelangi	pe	la	ngi
17	5	5	nyaring	nya	ring	
17	5	6	nganga	nga	nga	
17	5	7	angin	a	ngin	
17	5	8	bangun	ba	ngun	
17	5	9	lengan	le	ngan	
17	5	10	langit	la	ngit	
17	5	11	nyala	nya	la	
17	5	12	nyanyi	nya	nyi	
17	5	13	nyamuk	nya	muk	
17	5	14	nyonya	nyo	nya	
17	5	15	syarat	sya	rat	
17	5	16	syiling	syi	ling	
17	5	17	syukur	syu	kur	
17	5	18	syurga	syur	ga	
17	5	19	khabar	kha	bar	
17	5	20	khamis	kha	mis	
17	5	21	sangat	sa	ngat	
17	5	22	dengar	de	ngar	
17	5	23	dingin	di	ngin	
17	5	24	singa	si	nga	
17	5	25	nyawa	nya	wa	
18	5	1	angkat	ang	kat	
18	5	2	angka	ang	ka	
18	5	3	angsa	ang	sa	
18	5	4	langsat	lang	sat	
18	5	5	gangsa	gang	sa	
18	5	6	enggan	eng	gan	
18	5	7	engkau	eng	kau	
18	5	8	engku	eng	ku	
18	5	9	engsel	eng	sel	
18	5	10	bengkel	beng	kel	
18	5	11	inggeris	ing	geris	
18	5	12	ingkar	ing	kar	
18	5	13	bingka	bing	ka	
18	5	14	pinggan	ping	gan	
18	5	15	tinggal	ting	gal	
18	5	16	onggak	ong	gak	
18	5	17	longkang	long	kang	
18	5	18	kongsi	kong	si	
18	5	19	tongkat	tong	kat	
18	5	20	longgar	long	gar	
18	5	21	unggul	ung	gul	
18	5	22	ungkap	ung	kap	
18	5	23	ungkit	ung	kit	
18	5	24	tunggu	tung	gu	
18	5	25	bungkus	bung	kus	
19	5	1	khamis	kha	mis	
19	5	2	nyamuk	nya	muk	
19	5	3	syarikat	sya	ri	kat
19	5	4	nganga	nga	nga	
19	5	5	stesen	ste	sen	
19	5	6	khabar	kha	bar	
19	5	7	khemah	khe	mah	
19	5	8	khatam	kha	tam	
19	5	9	nyala	nya	la	
19	5	10	nyanyi	nya	nyi	
19	5	11	nyiru	nyi	ru	
19	5	12	nyaring	nya	ring	
19	5	13	nyonya	nyo	nya	
19	5	14	syarat	sya	rat	
19	5	15	syiling	syi	ling	
19	5	16	syukur	syu	kur	
19	5	17	syurga	syur	ga	
19	5	18	ngilu	ngi	lu	
19	5	19	ngeri	nge	ri	
19	5	20	bunga	bu	nga	
