# LanguageTag	# Level	# Worksheet	# Problem		# Word	# Missing Position	# Number of Consonant Choices	# Number of Vowel Choices	# Image	# Sound Duration
ms-MY	1	1	1		ibu	*bu	0	1	spelling_ibu.png	0.660666667
ms-MY	1	1	2		air	*ir	0	1	spelling_air.png	0.606
ms-MY	1	1	3		api	*pi	0	1	spelling_api.png	0.487541667
ms-MY	1	1	4		bas	*as	1	0	spelling_bas.png	0.693354167
ms-MY	1	1	5		kad	*ad	1	0	spelling_kad.png	0.550479167
ms-MY	1	1	6		pen	*en	0	1	spelling_pen.png	0.639833333
ms-MY	1	1	7		mop	*op	0	1	spelling_mop.png	0.832222222
ms-MY	1	2	1		kek	*ek	0	1	spelling_kek.png	0.81600907
ms-MY	1	2	2		ais	*is	0	1	spelling_ais.png	0.630666667
ms-MY	1	2	3		ubi	*bi	0	1	spelling_ubi.png	0.720333333
ms-MY	1	2	4		cat	*at	1	0	spelling_cat.png	0.621291667
ms-MY	1	2	5		pen	*en	0	1	spelling_pen.png	0.639833333
ms-MY	1	2	6		bas	*as	1	0	spelling_bas.png	0.693354167
ms-MY	1	2	7		jam	*am	1	0	spelling_jam.png	0.803729167
ms-MY	1	3	1		tin	*in	1	0	spelling_tin.png	1.011337868
ms-MY	1	3	2		bas	*as	1	0	spelling_bas.png	0.693354167
ms-MY	1	3	3		zip	*ip	1	0	spelling_zip.png	0.568888889
ms-MY	1	3	4		ubi	*bi	0	1	spelling_ubi.png	0.720333333
ms-MY	1	3	5		jus	*us	1	0	spelling_jus.png	0.814208333
ms-MY	1	3	6		beg	*eg	1	0	spelling_beg.png	0.568888889
ms-MY	1	3	7		vas	*as	1	0	spelling_vas.png	0.801088435
ms-MY	1	4	1		tin	*in	1	0	spelling_tin.png	1.011337868
ms-MY	1	4	2		cat	*at	1	0	spelling_cat.png	0.621291667
ms-MY	1	4	3		kek	*ek	0	1	spelling_kek.png	0.81600907
ms-MY	1	4	4		ubi	*bi	0	1	spelling_ubi.png	0.720333333
ms-MY	1	4	5		jus	*us	1	0	spelling_jus.png	0.814208333
ms-MY	1	4	6		jam	*am	1	0	spelling_jam.png	0.803729167
ms-MY	1	4	7		api	*pi	0	1	spelling_api.png	0.487541667
ms-MY	1	5	1		cat	*at	1	0	spelling_cat.png	0.621291667
ms-MY	1	5	2		ais	*is	0	1	spelling_ais.png	0.630666667
ms-MY	1	5	3		jam	*am	1	0	spelling_jam.png	0.803729167
ms-MY	1	5	4		beg	*eg	1	0	spelling_beg.png	0.568888889
ms-MY	1	5	5		jus	*us	1	0	spelling_jus.png	0.814208333
ms-MY	1	5	6		vas	*as	1	0	spelling_vas.png	0.801088435
ms-MY	1	5	7		kek	*ek	0	1	spelling_kek.png	0.81600907
ms-MY	1	6	1		pen	*en	0	1	spelling_pen.png	0.639833333
ms-MY	1	6	2		air	*ir	0	1	spelling_air.png	0.606
ms-MY	1	6	3		kad	*ad	1	0	spelling_kad.png	0.550479167
ms-MY	1	6	4		ibu	*bu	0	1	spelling_ibu.png	0.660666667
ms-MY	1	6	5		zip	*ip	1	0	spelling_zip.png	0.568888889
ms-MY	1	6	6		tin	*in	1	0	spelling_tin.png	1.011337868
ms-MY	1	6	7		mop	*op	0	1	spelling_mop.png	0.832222222
ms-MY	1	7	1		kad	*ad	1	0	spelling_kad.png	0.550479167
ms-MY	1	7	2		air	*ir	0	1	spelling_air.png	0.606
ms-MY	1	7	3		mop	*op	0	1	spelling_mop.png	0.832222222
ms-MY	1	7	4		ibu	*bu	0	1	spelling_ibu.png	0.660666667
ms-MY	1	7	5		api	*pi	0	1	spelling_api.png	0.487541667
ms-MY	1	7	6		vas	*as	1	0	spelling_vas.png	0.801088435
ms-MY	1	7	7		ais	*is	0	1	spelling_ais.png	0.630666667
ms-MY	2	1	1		ibu	i*u	1	0	spelling_ibu.png	0.660666667
ms-MY	2	1	2		air	a*r	0	1	spelling_air.png	0.606
ms-MY	2	1	3		api	a*i	1	0	spelling_api.png	0.487541667
ms-MY	2	1	4		bas	b*s	0	1	spelling_bas.png	0.693354167
ms-MY	2	1	5		kad	k*d	0	1	spelling_kad.png	0.550479167
ms-MY	2	1	6		pen	p*n	1	0	spelling_pen.png	0.639833333
ms-MY	2	1	7		mop	m*p	1	0	spelling_mop.png	0.832222222
ms-MY	2	2	1		kek	k*k	1	0	spelling_kek.png	0.81600907
ms-MY	2	2	2		ais	a*s	0	1	spelling_ais.png	0.630666667
