#LanguageTag	Level	Worksheet	ProblemNo	verticalProblem	horizontalProblem
ms-MY	1	1	1	m,s	a,i
ms-MY	1	1	2	p,t	a,i
ms-MY	1	1	3	k,l	a,i
ms-MY	2	1	1	m,s	a,u
ms-MY	2	1	2	p,t	a,u
ms-MY	2	1	3	k,l	a,u
ms-MY	3	1	1	n,g	a,i
ms-MY	3	1	2	n,g	a,u
ms-MY	3	1	3	m,s	i,u
ms-MY	4	1	1	b,d	a,e
ms-MY	4	1	2	b,g	o,a
ms-MY	4	1	3	d,n	e,i
ms-MY	5	1	1	j,h	e,a
ms-MY	5	1	2	j,h	o,u
ms-MY	5	1	3	k,l	i,o
ms-MY	6	1	1	ba,sa	tu
ms-MY	6	1	2	ba,sa	ku
ms-MY	6	1	3	na,la	ma
ms-MY	7	1	1	ta	li,ri
ms-MY	7	1	2	na	ma,da
ms-MY	7	1	3	ba	ju,ku
ms-MY	8	1	1	ba,ka	ta
ms-MY	8	1	2	ba,ka	la
ms-MY	8	1	3	la,sa	ri
ms-MY	9	1	1	na	da,si
ms-MY	9	1	2	ma	ta,na
ms-MY	9	1	3	la	ju,ku
ms-MY	10	1	1	ku,mu	da
ms-MY	10	1	2	bu,su	ku
ms-MY	10	1	3	ka,ta	li
ms-MY	11	1	1	ba,la,ma	ju
ms-MY	11	1	2	na,la,sa	ma
ms-MY	11	1	3	ma,ba,ra	ta
ms-MY	12	1	1	ba	la,ta,ku
ms-MY	12	1	2	ka	ta,la,ki
ms-MY	12	1	3	sa	tu,ku,pu
ms-MY	13	1	1	na,pa,la	da
ms-MY	13	1	2	ta,la,ma	ri
ms-MY	13	1	3	na,ba,la	si
ms-MY	14	1	1	bu	ku,di,ta
ms-MY	14	1	2	gu	la,ru,si
ms-MY	14	1	3	ka	yu,ta,li
ms-MY	15	1	1	ma,ra	ta,ma
ms-MY	15	1	2	ba,ka	la,ta
ms-MY	15	1	3	na,la	ma,da
ms-MY	16	1	1	ba,sa	ku,tu
ms-MY	16	1	2	ta,la	ri,li
ms-MY	16	1	3	ba,la	ju,ku
ms-MY	17	1	1	a	pi,bu
ms-MY	17	1	2	i	bu,ri
ms-MY	17	1	3	u	bi,li
ms-MY	18	1	1	a,e	la,ra
ms-MY	18	1	2	a,u	da,lu
ms-MY	18	1	3	a,e	sa,la
ms-MY	19	1	1	a	nak,dat
ms-MY	19	1	2	i	kan,man
ms-MY	19	1	3	u	lat,bat
ms-MY	20	1	1	a,e	nak
ms-MY	20	1	2	i,a	man
ms-MY	20	1	3	u,a	lat
ms-MY	21	1	1	i,a	kan,man
ms-MY	21	1	2	a,u	lam,mat
ms-MY	21	1	3	a,o	nak,lah
ms-MY	22	1	1	ba	tik,tuk
ms-MY	22	1	2	ku	tuk,dap
ms-MY	22	1	3	se	pak,kat
ms-MY	23	1	1	ba,be	tik
ms-MY	23	1	2	ge,ja	rak
ms-MY	23	1	3	da,ba	tuk
ms-MY	24	1	1	se	kat,pak,mak
ms-MY	24	1	2	ge	rak,lap,ram
ms-MY	24	1	3	le	kat,tup,pak
ms-MY	25	1	1	ba,be	tik,kal
ms-MY	25	1	2	le,se	kat,mak
ms-MY	25	1	3	ge,ja	rak,lar
ms-MY	26	1	1	pan	da,du
ms-MY	26	1	2	tem	pe,po
ms-MY	26	1	3	tan	da,pa
ms-MY	27	1	1	min,pin	ta,da
ms-MY	27	1	2	ham,tim	ba,pa
ms-MY	27	1	3	pin,kan	ta,da
ms-MY	28	1	1	sam	pai,pah
ms-MY	28	1	2	jam	ban,bul
ms-MY	28	1	3	lam	bak,bat
ms-MY	29	1	1	ham,tam	par,pah
ms-MY	29	1	2	lam,tam	bak,bat
ms-MY	29	1	3	lem,sem	bah,bur
ms-MY	30	1	1	a	rang,wang
ms-MY	30	1	2	u	dang,lung
ms-MY	30	1	3	u	sang,sung
ms-MY	31	1	1	kam,lem	bing
ms-MY	31	1	2	ben,ren	dang
ms-MY	31	1	3	ben,len	tang
ms-MY	32	1	1	rang	ka,ga,sang
ms-MY	32	1	2	tang	ga,ki,lung
ms-MY	32	1	3	bang	ga,ku,sai		
