#LanguageTag	#Level	#Worksheet	#Problem	#Word/Sentence	#Card	#ActiveCard	#Sound	#Image	#HintWord/Sentence	#CanDuplicate					
ms-MY	1	1	1	sawi	sa,wi	sa,wi	sawi.m4a	sawi.png	TRUE	TRUE
ms-MY	1	1	2	piza	pi,za	pi,za	piza.m4a	piza.png	TRUE	TRUE
ms-MY	1	1	3	tebu	te,bu	te,bu	tebu.m4a	tebu.png	TRUE	TRUE
ms-MY	1	1	4	ratu	ra,tu	ra,tu	ratu.m4a	ratu.png	TRUE	TRUE
ms-MY	1	1	5	hoki	ho,ki	ho,ki	hoki.m4a	hoki.png	TRUE	TRUE
ms-MY	1	2	1	labu	la,bu	la,bu	labu.m4a	labu.png	TRUE	TRUE
ms-MY	1	2	2	buku	bu,ku	bu,ku	buku.m4a	buku.png	TRUE	TRUE
ms-MY	1	2	3	batu	ba,tu	ba,tu	batu.m4a	batu.png	TRUE	TRUE
ms-MY	1	2	4	kaki	ka,ki	ka,ki	kaki.m4a	kaki.png	TRUE	TRUE
ms-MY	1	2	5	kuda	ku,da	ku,da	kuda.m4a	kuda.png	TRUE	TRUE
ms-MY	1	3	1	kuku	ku,ku	ku,ku	kuku.m4a	kuku.png	TRUE	TRUE
ms-MY	1	3	2	gula	gu,la	gu,la	gula.m4a	gula.png	TRUE	TRUE
ms-MY	1	3	3	mata	ma,ta	ma,ta	mata.m4a	mata.png	TRUE	TRUE
ms-MY	1	3	4	sudu	su,du	su,du	sudu.m4a	sudu.png	TRUE	TRUE
ms-MY	1	3	5	baju	ba,ju	ba,ju	baju.m4a	baju.png	TRUE	TRUE
ms-MY	1	4	1	roti	ro,ti	ro,ti	roti.m4a	roti.png	TRUE	TRUE
ms-MY	1	4	2	padi	pa,di	pa,di	padi.m4a	padi.png	TRUE	TRUE
ms-MY	1	4	3	sapu	sa,pu	sa,pu	sapu.m4a	sapu.png	TRUE	TRUE
ms-MY	1	4	4	tali	ta,li	ta,li	tali.m4a	tali.png	TRUE	TRUE
ms-MY	1	4	5	bola	bo,la	bo,la	bola.m4a	bola.png	TRUE	TRUE
ms-MY	2	1	1	ibu	i,bu	i,bu	ibu.m4a	ibu.png	TRUE	TRUE
ms-MY	2	1	2	ubi	u,bi	u,bi	ubi.m4a	ubi.png	TRUE	TRUE
ms-MY	2	1	3	uli	u,li	u,li	uli.m4a		TRUE	TRUE
ms-MY	2	1	4	api	a,pi	a,pi	api.m4a	api.png	TRUE	TRUE
ms-MY	2	1	5	aki	a,ki	a,ki	aki.m4a		TRUE	TRUE
ms-MY	2	2	1	ada	a,da	a,da	ada.m4a		TRUE	TRUE
ms-MY	2	2	2	ini	i,ni	i,ni	ini.m4a		TRUE	TRUE
ms-MY	2	2	3	itu	i,tu	i,tu	itu.m4a		TRUE	TRUE
